N	2gram	Losev_Vlad_1	Tragedij
1	и в	31	18
2	в году	30	9
3	в этом	14	9
4	не только	24	8
5	он сам	2	7
6	и не	17	7
7	и на	3	7
8	и с	14	7
9	может быть	6	7
10	что он	12	6
11	и его	7	6
12	же время	4	6
13	у него	15	6
14	но в	12	6
15	все же	3	5
16	к жизни	2	5
17	так и	6	5
18	не может	6	5
19	то же	6	5
20	в дальнейшем	8	5
21	как и	4	5
22	в то	8	5
23	несмотря на	4	5
24	но и	19	4
25	то что	18	4
26	в целом	3	4
27	что в	14	4
28	все это	5	4
29	я не	4	4
30	и все	4	4
31	в нем	4	4
32	и даже	15	4
33	том что	14	4
34	но это	3	4
35	в этой	4	4
36	что я	2	4
37	и что	6	4
38	в себе	4	4
39	еще не	2	4
40	об этом	7	4
41	уже в	7	3
42	один из	4	3
43	отнюдь не	3	3
44	в своем	4	3
45	в конце	9	3
46	как в	3	3
47	все эти	3	3
48	тем самым	2	3
49	жизнь и	3	3
50	и он	3	3
51	и как	4	3
52	к нему	4	3
53	в его	12	3
54	что с	2	3
55	для него	7	3
56	при этом	2	3
57	и сам	6	3
58	как это	7	3
59	с ним	5	3
60	то есть	3	3
61	еще в	4	2
62	это был	5	2
63	под влиянием	3	2
64	и до	2	2
65	не был	5	2
66	что и	5	2
67	только к	3	2
68	раз и	3	2
69	в частности	2	2
70	и за	2	2
71	и личность	2	2
72	то и	2	2
73	первого же	3	2
74	что все	2	2
75	и я	2	2
76	уже не	3	2
77	с его	11	2
78	отношение к	3	2
79	говорит что	4	2
80	к тому	3	2
81	о его	2	2
82	времени в	2	2
83	и здесь	3	2
84	ни в	2	2
85	он был	14	2
86	в том	11	2
87	так что	10	2
88	не в	5	2
89	с первого	2	2
90	что этот	3	2
91	тут же	7	2
92	году в	2	2
93	и то	10	2
94	потому что	11	2
95	с тем	2	2
96	тем что	2	2
97	в виде	3	2
98	он и	6	2
99	по поводу	12	2
100	в это	2	2
101	о том	11	2
102	и это	2	2
103	в самом	2	2
104	не мог	3	2
105	ничего не	3	2
106	он не	10	2
107	что она	2	2
108	отца и	3	2
109	никогда не	9	2
