N	2gram	Voloshinov_1	Dialekti
1	и не	16	30
2	это –	9	25
3	и есть	2	19
4	а не	2	18
5	может быть	13	17
6	ничего не	2	17
7	то что	10	16
8	и в	15	15
9	– в	13	15
10	как бы	11	14
11	так как	9	14
12	точки зрения	13	14
13	что это	3	13
14	того что	2	13
15	по себе	2	13
16	это не	2	12
17	прежде всего	11	11
18	и вот	6	11
19	в том	4	11
20	не может	13	11
21	и все	4	11
22	в этом	13	11
23	с ее	3	10
24	в основе	3	10
25	потому что	4	10
26	том что	5	10
27	было бы	6	9
28	все это	5	9
29	мы не	4	9
30	и что	3	9
31	то же	7	9
32	уже не	5	9
33	и пр	9	9
34	с точки	10	9
35	ни в	6	8
36	не в	4	8
37	в себе	4	8
38	и о	3	8
39	не только	5	8
40	в чем	4	8
41	и ее	3	8
42	что в	6	7
43	что оно	2	7
44	что мы	2	7
45	что он	8	7
46	как и	6	7
47	теперь мы	4	7
48	и его	15	7
49	только в	6	7
50	же время	5	6
51	и даже	2	6
52	сказать что	6	6
53	вовсе не	2	6
54	ни на	2	6
55	если бы	3	6
56	в то	6	6
57	что и	2	6
58	я не	3	5
59	так и	10	5
60	в своем	2	5
61	можно сказать	4	5
62	– как	2	5
63	того чтобы	2	5
64	в ней	5	5
65	но если	2	5
66	в нем	4	5
67	другими словами	3	5
68	что она	2	5
69	– не	7	5
70	таким образом	21	5
71	именно в	3	5
72	и на	3	5
73	с его	8	5
74	в жизни	5	5
75	учение о	2	5
76	– это	15	5
77	в себя	5	5
78	если мы	5	5
79	что такое	3	5
80	и для	2	5
81	той же	2	5
82	в каком	3	5
83	что все	5	4
84	идеи и	2	4
85	но это	2	4
86	в этой	5	4
87	один из	4	4
88	жизни и	5	4
89	но и	4	4
90	с ними	4	4
91	и с	7	4
92	мы должны	7	4
93	в одном	3	4
94	отнюдь не	2	4
95	– и	5	4
96	ничего общего	2	4
97	с их	3	4
98	она не	2	4
99	еще не	7	4
100	как раз	2	4
101	в течение	2	4
102	бы в	2	4
103	должны быть	3	4
104	хотя бы	7	4
105	в его	9	4
106	или иное	2	3
107	не всегда	4	3
108	в собственном	2	3
109	оно и	6	3
110	на этом	5	3
111	в свою	2	3
112	для всех	2	3
113	себя и	3	3
114	совершенно не	2	3
115	отношения к	2	3
116	все эти	9	3
117	и наконец	10	3
118	с этим	6	3
119	в истории	3	3
120	об его	3	3
121	с ним	12	3
122	но в	9	3
123	сознания и	5	3
124	к этому	7	3
125	возможно только	2	3
126	об этом	4	3
127	у нас	3	3
128	есть и	2	3
129	миф и	2	3
130	мы уже	5	3
131	– только	2	3
132	за пределы	2	3
133	в своей	9	3
134	и потому	8	3
135	нет никакого	2	3
136	со стороны	2	3
137	быть и	2	3
138	бы и	2	3
139	как в	3	3
140	на основании	2	3
141	– все	4	3
142	оно –	3	3
143	то или	2	3
144	в данном	3	3
145	и то	2	3
146	мы можем	12	3
147	могут быть	6	3
148	и истории	2	3
149	в области	3	3
150	не менее	3	2
151	не могут	3	2
152	в человеке	5	2
153	в отношении	2	2
154	из этих	4	2
155	человека и	6	2
156	главным образом	4	2
157	на все	2	2
158	но все	2	2
159	это как	3	2
160	и может	4	2
161	при этом	7	2
162	и часто	2	2
163	в самом	6	2
164	которые мы	2	2
165	никогда не	7	2
166	но мы	2	2
167	для этого	4	2
168	и только	4	2
169	не было	4	2
170	от того	3	2
171	можем сказать	2	2
172	и по	5	2
173	должно быть	2	2
174	ведь и	2	2
175	и тех	2	2
176	сам по	2	2
177	чем же	5	2
178	думать что	2	2
179	в ее	4	2
180	все же	5	2
181	в качестве	2	2
182	все что	9	2
183	конечно не	3	2
184	в этот	4	2
185	оно не	2	2
186	тем не	2	2
187	себя в	2	2
188	во всех	8	2
189	вместе с	4	2
190	ее в	2	2
191	что же	4	2
192	находится в	3	2
193	в глубине	2	2
194	во всяком	4	2
195	и при	3	2
196	– так	2	2
197	психической жизни	7	2
198	ни один	2	2
