N	2gram	Bakhtin_Fr_2	UchenyiS
1	и в	49	14
2	не только	17	10
3	и не	15	8
4	прежде всего	19	8
5	то что	6	7
6	в этом	15	7
7	не может	7	7
8	может быть	5	6
9	в художественном	2	5
10	перестает быть	2	5
11	все это	9	5
12	то же	7	5
13	но и	13	4
14	в этой	10	4
15	в их	2	4
16	с другой	4	4
17	но в	4	3
18	как и	11	3
19	все же	7	3
20	в своей	5	3
21	же время	6	3
22	другой стороны	3	3
23	для него	9	3
24	вряд ли	2	3
25	в то	6	3
26	было бы	3	3
27	и т.д	2	3
28	в области	4	3
29	том что	4	2
30	но не	5	2
31	в том	3	2
32	по существу	2	2
33	с его	5	2
34	всех этих	3	2
35	но это	2	2
36	о чем	3	2
37	литературы и	2	2
38	только в	13	2
39	и с	6	2
40	но даже	2	2
41	тем что	4	2
42	сих пор	4	2
43	могут быть	2	2
44	даже и	2	2
45	что он	3	2
46	в себе	4	2
47	до сих	4	2
48	в конце	2	2
49	на эту	2	2
50	этом отношении	3	2
51	в самом	3	2
52	меньшей степени	3	2
53	превращается в	3	2
54	одним из	2	2
55	ничего не	2	2
56	в его	18	2
57	таким образом	7	2
