N	2gram	Berdyaev_V_1	Komedia
1	и в	16	22
2	и не	20	21
3	том что	2	13
4	в том	3	12
5	так как	9	11
6	ни в	3	10
7	потому что	4	10
8	что он	4	8
9	в его	4	8
10	что и	3	8
11	в этом	4	8
12	а в	2	7
13	в конце	3	7
14	еще не	8	6
15	к тому	3	6
16	и что	3	6
17	того чтобы	2	6
18	что в	3	5
19	прежде всего	2	5
20	то это	3	5
21	и сам	2	5
22	хотя и	5	5
23	не только	2	5
24	в своей	3	5
25	все это	5	5
26	тем что	2	5
27	более чем	2	5
28	с ним	2	5
29	но в	3	5
30	с тем	2	4
31	нет и	2	4
32	не в	3	4
33	в ней	4	4
34	и т	2	4
35	то что	9	4
36	но и	5	4
37	а не	7	4
38	и для	3	4
39	на себя	5	4
40	так и	4	4
41	хотя бы	3	4
42	с его	3	3
43	никогда не	3	3
44	в них	3	3
45	если не	3	3
46	в нем	4	3
47	как и	4	3
48	все что	4	3
49	и мы	3	3
50	конечно не	2	3
51	как бы	5	3
52	один из	2	3
53	все равно	2	3
54	что не	4	3
55	не имеет	3	3
56	не так	2	3
57	любовь к	3	3
58	их в	3	3
59	во всяком	2	3
60	говорить о	4	3
61	что их	2	2
62	до того	2	2
63	не будет	2	2
64	это не	2	2
65	и все	4	2
66	человека и	6	2
67	в образе	4	2
68	и я	4	2
69	не могут	2	2
70	за ним	3	2
71	что они	7	2
72	тот же	3	2
73	в котором	4	2
74	не с	2	2
75	во всех	3	2
76	его не	2	2
77	они будут	4	2
78	не было	3	2
79	мы не	2	2
80	в мире	5	2
81	за то	3	2
82	от своей	2	2
83	можно было	2	2
84	я говорю	2	2
85	людей и	2	2
86	тому что	3	2
87	между тем	2	2
88	и во	2	2
89	что мы	4	2
90	и это	2	2
91	нет ничего	3	2
92	что ты	3	2
