N	2gram	Losev_Dial_2	Komedia
1	и в	19	22
2	т е	30	13
3	том что	10	12
4	в том	14	11
5	но и	12	11
6	не только	19	10
7	из них	3	10
8	в то	6	10
9	как и	10	9
10	и т	17	9
11	может быть	20	9
12	в одном	4	8
13	таким образом	4	8
14	и не	30	8
15	и его	5	8
16	о том	5	8
17	в этой	3	7
18	что в	7	6
19	в конце	2	6
20	что он	6	6
21	к тому	2	6
22	ни в	10	6
23	и по	4	6
24	то же	12	6
25	не в	8	6
26	а в	4	6
27	в которой	2	6
28	уже в	4	5
29	с другой	5	5
30	во время	2	5
31	прежде всего	8	5
32	при этом	4	5
33	на его	2	5
34	в истории	2	5
35	так и	10	5
36	как в	2	5
37	все это	4	5
38	другой стороны	4	5
39	то время	4	5
40	и даже	14	5
41	потому что	14	5
42	т п	2	5
43	между тем	2	5
44	именно в	2	4
45	в их	2	4
46	ясно что	4	4
47	несмотря на	2	4
48	как мы	3	4
49	же в	2	4
50	в другом	4	4
51	что они	6	4
52	же время	5	4
53	в нем	10	4
54	что и	5	4
55	на него	2	4
56	т д	15	4
57	тем что	2	4
58	и вот	4	4
59	время как	7	4
60	в результате	2	4
61	точки зрения	12	4
62	так как	14	4
63	но в	2	4
64	же как	3	3
65	не менее	3	3
66	на сцене	2	3
67	вопрос о	3	3
68	на всю	2	3
69	в тех	2	3
70	как из	2	3
71	и как	10	3
72	по своему	5	3
73	в частности	2	3
74	да и	6	3
75	он не	4	3
76	даже в	3	3
77	все же	4	3
78	так же	2	3
79	того как	2	3
80	с одной	2	3
81	как раз	5	3
82	в этом	8	3
83	и с	5	3
84	в виде	2	3
85	могут быть	4	3
86	только в	5	3
87	и все	12	3
88	его в	3	3
89	в чем	3	3
90	как это	7	3
91	ничего не	3	3
92	времени и	9	2
93	в противоположность	2	2
94	на сцену	2	2
95	независимо от	4	2
96	за пределы	4	2
97	в состоянии	2	2
98	к сожалению	2	2
99	на все	2	2
100	вовсе не	13	2
101	тем не	2	2
102	и можно	2	2
103	раз в	2	2
104	из всего	2	2
105	на этом	2	2
106	но не	6	2
107	как известно	2	2
108	время и	2	2
109	это еще	2	2
110	по одному	4	2
111	до сих	2	2
112	еще не	4	2
113	было бы	3	2
114	и из	3	2
115	в самом	5	2
116	всяком случае	2	2
117	говоря уже	2	2
118	с ее	2	2
119	то что	14	2
120	вместе с	2	2
121	не говоря	2	2
122	ее в	2	2
123	или менее	2	2
124	только что	5	2
125	в сущности	2	2
126	не может	9	2
127	не раз	2	2
128	что у	2	2
129	и притом	7	2
130	к нему	4	2
131	в силу	5	2
132	или в	2	2
133	но это	7	2
134	во всяком	2	2
135	но он	4	2
136	в своих	2	2
137	это время	3	2
138	в себе	15	2
139	по своей	4	2
140	как будто	7	2
141	же самое	2	2
142	будто бы	3	2
143	уже о	2	2
144	в области	2	2
145	что по	2	2
146	или по	2	2
147	е в	3	2
148	сих пор	2	2
