N	2gram	Losev_Vlad_1	Narrotol
1	не только	24	31
2	но и	19	27
3	и не	17	23
4	при этом	2	19
5	может быть	6	15
6	в частности	2	14
7	в качестве	6	14
8	как и	4	13
9	а в	9	13
10	только в	9	12
11	в этом	14	12
12	и в	31	11
13	такого рода	4	10
14	и его	7	10
15	то что	18	9
16	то есть	3	9
17	то же	6	8
18	в том	11	8
19	со стороны	2	8
20	не может	6	8
21	уже не	3	8
22	у него	15	7
23	том что	14	7
24	но в	12	7
25	к тому	3	6
26	об этом	7	6
27	а также	5	6
28	не в	5	6
29	и он	3	6
30	в самом	2	6
31	не мог	3	6
32	один из	4	6
33	жизни и	5	6
34	как раз	7	6
35	тому же	2	6
36	в себе	4	6
37	в его	12	6
38	в этой	4	6
39	можно сказать	6	5
40	в своей	4	5
41	так и	6	5
42	тем самым	2	5
43	и на	3	5
44	потому что	11	5
45	точки зрения	2	5
46	с его	11	4
47	никогда не	9	4
48	из этих	2	4
49	к себе	2	4
50	что на	2	4
51	все же	3	4
52	для него	7	4
53	но не	3	4
54	же время	4	4
55	еще не	2	4
56	к нему	4	4
57	в нем	4	4
58	этом и	2	4
59	из них	2	4
60	не по	2	4
61	как в	3	4
62	того что	2	4
63	того чтобы	2	4
64	хотя и	4	4
65	на себя	3	4
66	в то	8	4
67	что у	4	4
68	о том	11	4
69	не менее	2	3
70	он сам	2	3
71	что в	14	3
72	в нашем	4	3
73	в своем	4	3
74	в жизни	3	3
75	что он	12	3
76	тем не	2	3
77	у нас	6	3
78	и как	4	3
79	в начале	3	3
80	в целом	3	3
81	но как	5	3
82	для того	2	3
83	и о	2	3
84	он не	10	3
85	о нем	7	3
86	еще в	4	3
87	его жизни	6	3
88	начиная с	2	3
89	не было	5	3
90	лишь в	2	3
91	едва ли	3	3
92	и то	10	3
93	также и	10	3
94	и с	14	3
95	и все	4	3
96	как это	7	3
97	отнюдь не	3	2
98	она была	2	2
99	в конце	9	2
100	на то	5	2
101	ему в	2	2
102	по своим	3	2
103	о его	2	2
104	к его	3	2
105	как мы	9	2
106	но зато	2	2
107	а по	2	2
108	да и	4	2
109	ему было	3	2
110	в москве	8	2
111	по своему	3	2
112	все что	2	2
113	и стал	3	2
114	он уже	4	2
115	никак не	4	2
116	всяком случае	2	2
117	к жизни	2	2
118	хотя бы	2	2
119	себя в	4	2
120	вместе с	3	2
121	дело не	2	2
122	только на	3	2
123	другой стороны	3	2
124	только что	2	2
125	после смерти	4	2
126	в связи	3	2
127	в особенности	4	2
128	и через	3	2
129	если не	3	2
130	в году	30	2
131	и вот	3	2
132	и даже	15	2
133	и притом	3	2
134	времени в	2	2
135	с другой	3	2
136	в детстве	2	2
137	и для	2	2
138	ничего не	3	2
139	с ними	2	2
140	это была	3	2
141	в результате	2	2
142	сказать что	7	2
143	во всяком	2	2
144	и от	5	2
145	что касается	3	2
146	он и	6	2
147	и еще	2	2
148	что мы	2	2
149	один и	2	2
150	дело в	4	2
151	здесь не	3	2
152	в чем	2	2
153	с ним	5	2
154	это было	6	2
