N	3gram	Tiupa_Narr_1	Analitik
1	не может быть	5	16
2	в том что	8	9
3	в то же	3	8
4	в отличие от	5	6
5	значении этого слова	2	6
6	то же время	3	6
7	той или иной	4	6
8	по отношению к	6	5
9	что иное как	2	5
10	и не в	4	4
11	времени и пространстве	5	4
12	не что иное	2	4
13	мы имеем дело	2	4
14	к тому же	4	4
15	в конечном счете	2	4
16	с точки зрения	2	4
17	то ни было	3	3
18	том или ином	2	3
19	в том числе	6	3
20	а не в	2	3
21	и представляет собой	2	3
22	бы то ни	3	3
23	в той или	2	3
24	состоит в том	3	3
25	во времени и	4	3
26	в таком случае	2	3
27	подобно тому как	2	3
28	с одной стороны	7	3
29	о том что	6	3
30	того или иного	2	3
31	сами по себе	2	2
32	в данном случае	4	2
33	в этом ряду	2	2
34	в том или	2	2
35	в этом отношении	3	2
36	отнюдь не предполагает	2	2
37	не сводится к	2	2
38	в первом случае	2	2
39	в основе своей	4	2
40	с другой стороны	4	2
