N	3gram	Losev_Prob_2	Vvedenie
1	и т д	6	36
2	для того чтобы	2	20
3	о том что	14	12
4	в том что	4	12
5	тем не менее	12	8
6	не может быть	3	8
7	в этом смысле	5	8
8	в самом деле	2	6
9	в то же	4	6
10	до сих пор	4	6
11	с другой стороны	5	5
12	в данном случае	5	4
13	по крайней мере	6	4
14	не только в	2	4
15	с одной стороны	5	4
16	можно было бы	2	4
17	что иное как	3	4
18	само по себе	2	4
19	в этом случае	7	4
20	не что иное	3	4
21	и в этом	3	4
22	во всяком случае	10	4
23	так или иначе	6	4
24	одной стороны и	3	3
25	можно сказать что	3	3
26	сама по себе	4	3
27	вопрос о том	2	3
28	заключается в том	2	3
29	как будто бы	5	2
30	и той же	2	2
31	в конце концов	7	2
32	по этому поводу	2	2
33	в значительной мере	3	2
34	точно так же	3	2
35	не говоря уже	4	2
36	хотя бы и	3	2
37	то же самое	5	2
38	есть не что	3	2
39	в связи с	5	2
40	может быть и	2	2
41	подобно тому как	2	2
42	одной и той	2	2
