N	2gram	Vygotskiy__5	Poddanst
1	не только	16	17
2	и в	30	14
3	и не	6	12
4	в отношении	2	10
5	в этом	14	10
6	то же	7	9
7	в том	27	9
8	в качестве	2	9
9	но в	5	9
10	хотя бы	3	8
11	в то	2	7
12	только в	5	7
13	но и	6	6
14	в ней	4	6
15	было бы	5	6
16	с другой	9	5
17	не в	8	5
18	в которых	2	5
19	и о	3	5
20	может быть	11	5
21	же в	2	4
22	в котором	2	4
23	то что	37	4
24	что в	24	4
25	если бы	11	4
26	в своем	6	4
27	не может	9	4
28	по себе	7	4
29	и к	4	4
30	а в	4	4
31	том что	21	4
32	мы должны	3	4
33	и если	6	4
34	как бы	19	4
35	и потому	5	4
36	сами по	2	3
37	в нем	7	3
38	и т	7	3
39	с тем	8	3
40	это не	3	3
41	с одной	12	3
42	прежде всего	4	3
43	заключается в	8	3
44	для того	20	3
45	с точки	2	3
46	сводится к	5	3
47	мы не	3	3
48	и как	7	3
49	но не	7	3
50	могут быть	8	3
51	точки зрения	7	3
52	в себе	5	3
53	что мы	11	3
54	тот же	3	3
55	одной стороны	12	3
56	потому что	23	3
57	и тем	6	2
58	осуществляется в	2	2
59	именно в	6	2
60	и есть	5	2
61	во всех	2	2
62	в частности	4	2
63	со стороны	3	2
64	заключает в	4	2
65	в них	4	2
66	есть нечто	3	2
67	все это	2	2
68	как раз	13	2
69	отношения к	2	2
70	с этим	2	2
71	которую мы	2	2
72	и вот	2	2
73	стороны и	4	2
74	а не	8	2
75	того что	8	2
76	должно быть	2	2
77	для нас	3	2
78	в ее	3	2
79	как на	11	2
80	есть не	4	2
81	одна из	3	2
82	в силу	3	2
83	является в	2	2
84	по сравнению	4	2
85	из них	2	2
86	и мы	16	2
87	и это	8	2
88	мысль о	4	2
89	в полной	2	2
90	никак не	6	2
91	в его	4	2
92	и с	2	2
