N	2gram	Savitsky_E_1	VLabPisa
1	таким образом	2	27
2	в этом	12	26
3	и в	37	25
4	не только	18	22
5	может быть	6	21
6	хотя бы	15	20
7	и не	14	19
8	т е	9	17
9	не может	9	17
10	в его	2	15
11	в процессе	4	14
12	прежде всего	9	13
13	в том	11	13
14	этом отношении	3	13
15	в частности	5	12
16	как это	4	12
17	с другой	7	11
18	в силу	2	11
19	из них	3	11
20	не могут	2	10
21	в качестве	14	10
22	о том	3	10
23	что в	21	9
24	но и	14	9
25	то же	15	9
26	на основании	2	8
27	в своем	14	8
28	другой стороны	2	8
29	могут быть	2	8
30	же в	2	7
31	как и	7	7
32	том что	6	7
33	было бы	8	7
34	говорит о	3	7
35	во всех	6	7
36	вместе с	2	7
37	а не	2	7
38	в порядке	2	6
39	в себе	9	6
40	то что	6	6
41	главным образом	2	6
42	так и	10	6
43	бы и	3	6
44	между тем	8	6
45	в то	16	6
46	в результате	3	5
47	же время	14	5
48	очевидно что	3	5
49	в пределах	25	5
50	как бы	6	5
51	в их	11	5
52	на основе	2	5
53	сказать что	4	5
54	только в	9	5
55	не в	5	5
56	не является	3	5
57	к тому	8	4
58	никогда не	3	4
59	в одном	2	4
60	что все	2	4
61	можно сказать	4	4
62	в ее	8	4
63	в своей	8	4
64	в самом	4	4
65	даже в	4	4
66	когда он	3	4
67	в них	3	4
68	в этой	2	4
69	утверждать что	2	4
70	и к	3	3
71	с тем	3	3
72	и как	2	3
73	и от	3	3
74	одном из	2	3
75	мы видели	3	3
76	но как	2	3
77	или в	2	3
78	с этим	2	3
79	вслед за	6	3
80	далеко не	2	3
81	в котором	2	3
82	что и	3	3
83	жизни и	2	3
84	ее в	3	3
85	именно в	4	3
86	этот вопрос	2	3
87	в значительной	2	3
88	того что	7	3
89	и по	5	3
90	так же	9	3
91	можно утверждать	2	3
92	в которых	3	3
93	как на	3	3
94	точки зрения	23	3
95	она не	2	3
96	всего лишь	3	3
97	бы в	2	3
98	с более	3	2
99	он сам	2	2
100	можно ли	3	2
101	но даже	4	2
102	мира и	3	2
103	вовсе не	6	2
104	по себе	4	2
105	стороны и	6	2
106	или иной	4	2
107	от них	3	2
108	частности в	2	2
109	ли это	3	2
110	и потому	5	2
111	но не	5	2
112	одной стороны	8	2
113	для того	6	2
114	в общем	3	2
115	одной из	5	2
116	если бы	2	2
117	меньшей степени	2	2
118	на язык	2	2
119	к ним	3	2
120	в ней	4	2
121	и даже	6	2
122	всяком случае	3	2
123	и этот	2	2
124	отнюдь не	9	2
125	если в	2	2
126	с а	2	2
127	при помощи	2	2
128	этот процесс	2	2
129	между прочим	7	2
130	во всей	2	2
131	а в	2	2
132	начиная с	2	2
133	с одной	8	2
134	в течение	5	2
135	но с	2	2
136	этой точки	5	2
137	и некоторые	3	2
138	заключается в	2	2
139	того чтобы	6	2
140	между ними	2	2
141	и для	3	2
142	войны и	2	2
143	отметить что	3	2
144	можно было	3	2
145	с другими	2	2
146	в своих	2	2
147	также и	7	2
148	производства в	2	2
149	во всяком	3	2
150	хотя и	2	2
151	он не	2	2
152	стороны в	2	2
153	того или	4	2
154	в области	11	2
155	же как	5	2
156	тогда когда	2	2
157	но в	14	2
