N	3gram	Losev_Vesc_1	Psycholo
1	для того чтобы	2	19
2	на то что	2	16
3	в том что	4	14
4	с одной стороны	3	12
5	к тому что	2	6
6	о том что	4	6
7	в самом деле	4	5
8	с другой стороны	2	5
9	по сравнению с	6	4
10	не только не	2	4
11	из того что	2	3
12	сам по себе	3	3
13	и то же	4	3
14	одно и то	4	3
15	и то что	3	3
16	и т д	19	3
17	можно сказать что	3	2
18	в конце концов	2	2
19	и для ее	2	2
20	бы сказать что	2	2
21	сами по себе	3	2
22	то что оно	2	2
23	в данном случае	2	2
24	не что иное	7	2
25	то что мы	2	2
26	с точки зрения	3	2
27	не может быть	6	2
28	что иное как	7	2
29	не только в	4	2
30	что это есть	3	2
