N	2gram	Propp_Russ_2	Narrotol
1	не только	10	32
2	может быть	13	25
3	но и	8	23
4	в качестве	3	21
5	и в	29	19
6	в том	22	18
7	в этом	11	17
8	том что	22	14
9	не в	4	14
10	состоит в	15	13
11	а не	4	12
12	тогда как	2	12
13	представляет собой	2	12
14	то что	5	11
15	а в	9	11
16	не может	5	10
17	при этом	6	9
18	с другой	2	8
19	как и	11	7
20	еще не	6	7
21	а также	4	7
22	все же	2	7
23	как в	7	7
24	с одной	2	7
25	одной стороны	2	7
26	но не	5	6
27	именно в	4	6
28	как это	4	6
29	о том	9	6
30	но в	5	6
31	и как	2	5
32	не все	4	5
33	в форме	2	5
34	уже не	4	5
35	к нему	4	5
36	в данном	6	5
37	в отличие	3	5
38	отличие от	3	5
39	в этой	3	5
40	далеко не	4	5
41	переход от	2	4
42	прежде всего	2	4
43	то же	4	4
44	же в	6	4
45	было бы	3	4
46	связи с	2	4
47	как бы	18	4
48	данном случае	7	4
49	из которых	2	4
50	не столько	2	4
51	в церкви	2	4
52	пока еще	2	4
53	и с	10	4
54	не менее	2	3
55	а с	2	3
56	жизни в	2	3
57	же как	4	3
58	что в	22	3
59	могут быть	2	3
60	никогда не	2	3
61	из этих	2	3
62	тем не	2	3
63	это и	2	3
64	одна из	11	3
65	один из	2	3
66	не с	2	3
67	из них	4	3
68	в ее	3	3
69	а именно	3	3
70	как мы	3	3
71	и на	6	3
72	будто бы	5	3
73	между тем	3	3
74	тем что	3	3
75	на себя	2	3
76	в то	2	3
77	что это	3	3
78	по полю	4	2
79	на другой	2	2
80	по всей	3	2
81	между собой	2	2
82	или даже	3	2
83	та же	2	2
84	другой день	2	2
85	совершенно очевидно	2	2
86	не всегда	3	2
87	в четверг	2	2
88	что на	2	2
89	на первый	3	2
90	что иное	2	2
91	говорит о	2	2
92	по существу	4	2
93	есть в	2	2
94	и после	3	2
95	не что	2	2
96	она не	3	2
97	о воскресении	3	2
98	не имеет	3	2
99	смерти и	2	2
100	так же	4	2
101	не было	2	2
102	все эти	3	2
103	совершенно не	2	2
104	одним из	2	2
105	и для	2	2
106	это не	5	2
107	в таком	4	2
108	или в	7	2
109	можно было	2	2
110	тому как	3	2
111	а иногда	2	2
112	каждый из	2	2
113	одно из	2	2
114	вокруг него	2	2
115	подобно тому	3	2
116	и ее	2	2
117	все то	2	2
118	и все	4	2
119	его в	8	2
120	представляют собой	7	2
121	когда мы	2	2
122	что по	4	2
123	мы имеем	6	2
124	иное как	2	2
125	о чем	4	2
