N	2gram	Losev_Prob_5	RusskieA
1	и в	30	36
2	не только	18	22
3	что в	5	19
4	том что	17	19
5	в том	12	17
6	но и	13	16
7	так как	6	15
8	и другие	3	13
9	xix в	4	13
10	в этом	17	12
11	в других	3	11
12	это не	2	10
13	как мы	2	10
14	как и	7	10
15	вместе с	7	10
16	и на	6	10
17	потому что	13	10
18	об этом	4	9
19	а в	6	9
20	с тем	5	8
21	у нас	7	8
22	из них	2	8
23	может быть	7	8
24	один из	2	8
25	о том	12	8
26	что они	3	7
27	что и	6	7
28	так и	7	7
29	между тем	2	7
30	и не	12	6
31	для нас	10	6
32	при этом	4	6
33	в них	2	6
34	уже не	6	6
35	таким образом	13	6
36	мы не	2	6
37	в виде	10	6
38	то что	18	6
39	будто бы	5	6
40	все же	9	5
41	как будто	3	5
42	как бы	6	5
43	и у	5	5
44	как в	2	5
45	того как	5	5
46	к этому	2	4
47	к тому	2	4
48	по существу	2	4
49	еще не	3	4
50	связи с	7	4
51	еще в	5	4
52	и их	5	4
53	не может	5	4
54	в связи	7	4
55	а с	4	4
56	мы имеем	2	4
57	и что	6	4
58	того что	3	4
59	что этот	5	4
60	тем что	2	4
61	только в	9	4
62	не менее	5	3
63	для них	3	3
64	по этому	2	3
65	в качестве	4	3
66	в своем	11	3
67	но все	4	3
68	в одном	3	3
69	представление о	2	3
70	в свою	2	3
71	от них	2	3
72	и к	4	3
73	тем не	5	3
74	и другой	2	3
75	в это	2	3
76	несмотря на	6	3
77	в целях	2	3
78	а также	3	3
79	в настоящее	3	3
80	говорится что	2	3
81	на небо	8	3
82	в середине	2	3
83	то же	2	3
84	всякого рода	2	3
85	с точки	8	3
86	так же	5	3
87	ничего не	2	3
88	точки зрения	10	3
89	настоящее время	3	3
90	то есть	21	3
91	далеко не	4	3
92	в области	2	3
93	что от	3	2
94	борьбы с	2	2
95	и более	2	2
96	в частности	4	2
97	но даже	4	2
98	но тем	2	2
99	что у	5	2
100	только для	2	2
101	за все	2	2
102	не просто	5	2
103	значение и	2	2
104	что именно	2	2
105	в нем	6	2
106	не что	3	2
107	у него	11	2
108	он был	2	2
109	нас не	3	2
110	так что	11	2
111	и как	6	2
112	в дальнейшем	7	2
113	в силу	5	2
114	говорится о	4	2
115	но не	7	2
116	после того	3	2
117	отнюдь не	4	2
118	когда он	2	2
119	в ней	3	2
120	в его	12	2
121	ii в	2	2
122	и с	5	2
123	и до	2	2
124	как символ	9	2
125	этому поводу	2	2
126	все эти	2	2
127	в какой	2	2
128	однако как	2	2
129	в году	5	2
130	а не	5	2
131	и для	6	2
132	с ним	3	2
133	или в	4	2
134	тут же	6	2
135	мы можем	5	2
136	хотя и	8	2
137	это время	2	2
138	что иное	3	2
139	но в	9	2
140	иное как	3	2
141	еще до	2	2
142	же не	4	2
