N	2gram	Medvedev_S_1	KulturaY
1	в том	5	30
2	и в	3	24
3	том что	2	21
4	что в	2	17
5	было бы	2	15
6	в этом	5	14
7	может быть	2	13
8	таким образом	2	12
9	в его	3	12
10	не в	3	11
11	только в	2	11
12	не только	3	10
13	то что	2	9
14	отношению к	2	9
15	по отношению	2	8
16	то же	2	8
17	как бы	2	7
18	но и	2	6
19	все это	7	6
20	еще не	2	5
21	и что	2	5
22	в результате	2	5
23	в частности	2	4
24	по существу	2	4
25	это и	2	4
26	очевидно что	2	3
27	должна быть	2	3
28	к которому	2	3
29	в смысле	2	2
30	исторической жизни	2	2
31	для нас	3	2
32	и мы	2	2
33	тем более	2	2
34	дело не	2	2
35	нужно было	2	2
36	но ведь	3	2
