N	3gram	Losev_Dial_2	Vvedenie
1	и т д	15	36
2	о том что	4	12
3	в том что	6	12
4	тем не менее	2	8
5	не может быть	3	8
6	то же время	4	6
7	в самом деле	3	6
8	в то же	3	6
9	до сих пор	2	6
10	и т п	2	5
11	с другой стороны	4	5
12	в широком смысле	2	5
13	т е в	3	4
14	в данном случае	2	4
15	по крайней мере	9	4
16	не только в	2	4
17	что иное как	3	4
18	само по себе	2	4
19	не что иное	3	4
20	во всяком случае	2	4
21	так или иначе	2	4
22	можно сказать что	3	3
23	сама по себе	7	3
24	как будто бы	3	2
25	может быть в	3	2
26	с точки зрения	8	2
27	не могут быть	2	2
28	не говоря уже	2	2
29	вовсе не в	3	2
30	то же самое	2	2
31	есть не что	2	2
32	в связи с	4	2
33	может быть и	3	2
34	что в нем	2	2
35	мы уже знаем	3	2
36	принять во внимание	3	2
37	потому что он	2	2
