N	2gram	Propp_Russ_2	Mirosoze
1	и в	29	46
2	может быть	13	21
3	в этом	11	20
4	никогда не	2	18
5	не только	10	18
6	но и	8	15
7	не может	5	15
8	как и	11	13
9	а не	4	13
10	прежде всего	2	12
11	друг друга	3	12
12	потому что	5	12
13	не было	2	11
14	но он	3	11
15	у нас	4	11
16	та же	2	10
17	но в	5	10
18	не в	4	9
19	как бы	18	8
20	так как	13	8
21	она не	3	8
22	на земле	5	8
23	в этой	3	7
24	как в	7	7
25	и для	2	7
26	вопрос о	4	6
27	что это	3	6
28	так же	4	6
29	того что	3	6
30	и там	3	6
31	там и	2	6
32	в народе	3	6
33	то же	4	5
34	совсем не	2	5
35	один из	2	5
36	что она	3	5
37	это не	5	5
38	и все	4	5
39	во всем	2	5
40	то что	5	5
41	в своей	2	5
42	для того	6	5
43	что в	22	4
44	для этого	5	4
45	до конца	3	4
46	не имеет	3	4
47	том что	22	4
48	должен быть	2	4
49	что и	2	4
50	т е	24	4
51	уже не	4	4
52	того чтобы	6	4
53	у них	2	4
54	жизнь и	2	4
55	же как	4	3
56	и от	3	3
57	в образе	2	3
58	в том	22	3
59	жизни в	2	3
60	принадлежат к	2	3
61	в своих	2	3
62	и на	6	3
63	людей и	2	3
64	и с	10	3
65	что иное	2	3
66	о том	9	3
67	его в	8	3
68	иное как	2	3
69	в них	4	3
70	не что	2	3
71	это и	2	3
72	связано с	2	3
73	того как	2	3
74	тем что	3	3
75	с другим	2	3
76	есть в	2	3
77	не был	2	2
78	в этих	3	2
79	у русских	4	2
80	не всегда	3	2
81	ее и	2	2
82	нас не	2	2
83	так что	4	2
84	к нему	4	2
85	не к	2	2
86	но она	2	2
87	и других	3	2
88	должно быть	2	2
89	а в	9	2
90	в церкви	2	2
91	е в	10	2
92	между тем	3	2
93	на этом	3	2
94	на природу	2	2
95	а за	4	2
96	тогда когда	4	2
97	если он	2	2
98	связи с	2	2
99	чем в	2	2
100	после того	2	2
101	и что	5	2
102	во всех	3	2
103	к ней	2	2
104	еще в	2	2
105	вместе с	6	2
106	ее в	8	2
107	можно было	2	2
108	тому как	3	2
109	подобно тому	3	2
110	в которой	2	2
