N	3gram	Trubetskoy_1	Myslijsy
1	по отношению к	9	8
2	заключает в себе	2	8
3	в том что	15	7
4	о том что	4	5
5	в этом случае	4	5
6	не может быть	3	5
7	а между тем	8	4
8	тем не менее	4	4
9	до сих пор	8	4
10	и то что	3	4
11	для того чтобы	7	4
12	на то что	7	4
13	лишь тогда когда	2	3
14	во всяком случае	2	3
15	с точки зрения	8	3
16	вместе с тем	2	3
17	в то же	2	3
18	в том случае	4	3
19	на самом деле	7	3
20	то же время	2	3
21	так или иначе	5	2
22	в том же	3	2
23	в данном случае	3	2
24	в своем развитии	3	2
25	и в том	2	2
26	в том и	2	2
27	не в состоянии	2	2
28	с течением времени	4	2
