N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	49
2	прежде всего	4	19
3	не только	5	17
4	и на	2	17
5	и не	11	15
6	в этом	7	15
7	в них	4	13
8	но и	3	13
9	в эпоху	9	13
10	как и	7	11
11	и т.п	2	11
12	в средние	3	9
13	все это	5	9
14	в нем	5	9
15	средние века	7	8
16	жизни и	8	7
17	не может	16	7
18	все эти	2	7
19	на протяжении	2	7
20	то что	4	6
21	xviii века	2	6
22	в истории	3	6
23	времени и	2	6
24	во всех	3	6
25	так и	2	6
26	с их	2	6
27	сказать что	3	6
28	и с	2	6
29	в то	2	6
30	с его	6	5
31	никогда не	6	5
32	но не	2	5
33	может быть	7	5
34	и потому	4	5
35	в своей	3	5
36	роль в	2	5
37	в духе	3	4
38	с другой	3	4
39	нового времени	12	4
40	в жизни	5	4
41	и к	5	4
42	в себе	2	4
43	том что	2	4
44	одна из	2	4
45	не было	4	4
46	а в	2	4
47	лишь в	6	4
48	но в	2	4
49	средневековья и	2	3
50	место в	2	3
51	связана с	2	3
52	с одной	2	3
53	жизни в	3	3
54	человека и	3	3
55	в ее	3	3
56	в том	8	3
57	одной стороны	2	3
58	культура средневековья	2	3
59	с ее	5	3
60	ни в	6	3
61	века и	2	3
62	другой стороны	2	3
63	и все	4	3
64	культуры и	7	3
65	можно было	2	3
66	духа и	3	3
67	о том	4	3
68	и это	2	3
69	что в	9	2
70	могут быть	2	2
71	перестает быть	4	2
72	за пределы	3	2
73	думать что	2	2
74	в одну	2	2
75	в смысле	2	2
76	xix века	5	2
77	в новой	7	2
78	по существу	2	2
79	это и	2	2
80	но это	6	2
81	связаны с	2	2
82	есть в	2	2
83	еще не	3	2
84	века но	2	2
85	такого рода	2	2
86	века были	2	2
87	у него	2	2
88	в новое	3	2
89	хотя и	2	2
90	в ней	5	2
91	эти формы	3	2
92	в мире	3	2
93	вместе с	2	2
94	не во	4	2
95	того чтобы	2	2
96	и даже	2	2
97	так же	2	2
98	тому как	3	2
99	подобно тому	3	2
