N	2gram	Vygotskiy__3	Dialekti
1	не есть	3	54
2	и не	10	27
3	точки зрения	6	25
4	это значит	4	24
5	и в	25	24
6	значит что	4	24
7	не только	6	23
8	по себе	7	20
9	не может	6	19
10	и что	10	15
11	в таком	2	14
12	то что	15	14
13	может быть	13	13
14	таким образом	17	13
15	что он	6	13
16	что это	5	12
17	того что	10	12
18	есть и	2	12
19	не менее	6	11
20	тем не	5	10
21	отнюдь не	4	10
22	ни в	9	9
23	но и	4	9
24	что она	5	9
25	прежде всего	4	8
26	так что	2	8
27	и как	5	8
28	отличается от	3	8
29	что мы	7	8
30	том что	20	8
31	в этом	14	8
32	в виде	3	8
33	что в	17	7
34	никогда не	4	7
35	в самом	3	7
36	что оно	4	7
37	потому что	6	7
38	ясно что	2	7
39	как и	15	7
40	все это	6	6
41	и только	2	6
42	о том	5	6
43	так как	12	6
44	если бы	5	6
45	и все	4	6
46	об этом	2	6
47	оно не	2	6
48	что и	10	6
49	то же	2	6
50	можно ли	2	5
51	с этой	3	5
52	в том	23	5
53	но это	5	5
54	хотя и	2	5
55	и его	2	5
56	как на	2	5
57	в то	4	5
58	как это	7	5
59	само по	2	5
60	в них	2	5
61	тогда когда	4	5
62	и к	5	5
63	было бы	10	5
64	он не	4	5
65	так и	5	5
66	уже не	2	5
67	мы не	9	5
68	только в	10	5
69	тому что	2	4
70	с другой	6	4
71	первый план	2	4
72	не могут	4	4
73	то время	4	4
74	или иной	3	4
75	к тому	4	4
76	но только	3	4
77	так же	17	4
78	время как	4	4
79	сказать что	4	4
80	на первый	2	4
81	от того	4	4
82	только что	2	4
83	в чем	2	4
84	тому как	2	4
85	и то	2	4
86	мы и	2	4
87	и это	4	4
88	для него	5	4
89	перед нами	10	3
90	все же	6	3
91	все время	2	3
92	вопрос об	2	3
93	в своем	4	3
94	может ли	2	3
95	и от	2	3
96	мы знаем	4	3
97	не в	6	3
98	одной стороны	5	3
99	в основе	16	3
100	в нем	2	3
101	из них	4	3
102	то и	4	3
103	с одной	5	3
104	все эти	7	3
105	того или	2	3
106	должно быть	2	3
107	друг друга	4	3
108	и на	6	3
109	с этим	4	3
110	мы уже	5	3
111	во всем	3	3
112	ни на	2	3
113	тем что	8	3
114	на себя	2	3
115	в силу	6	3
116	на то	4	3
117	зависимости от	6	3
118	одна из	2	3
119	все что	2	3
120	сами по	3	3
121	не будет	2	3
122	как бы	10	3
123	тем самым	2	3
124	для того	7	3
125	из которых	5	3
126	той же	4	3
127	в каком	2	3
128	но на	3	2
129	же как	6	2
130	в частности	4	2
131	из этих	4	2
132	следовательно не	2	2
133	этой точки	2	2
134	показывает что	8	2
135	из того	2	2
136	в смысле	4	2
137	для нас	2	2
138	на этом	3	2
139	еще не	4	2
140	не можем	3	2
141	при этом	5	2
142	нас к	2	2
143	той или	2	2
144	всяком случае	4	2
145	уже по	2	2
146	другой стороны	3	2
147	для этого	2	2
148	того и	2	2
149	именно в	5	2
150	понятия и	3	2
151	и по	5	2
152	а в	4	2
153	нет никаких	4	2
154	в своих	2	2
155	их в	3	2
156	и здесь	2	2
157	бы быть	2	2
158	и потому	2	2
159	бы в	2	2
160	в чисто	2	2
161	но они	2	2
162	с его	2	2
163	в зависимости	5	2
164	из нее	2	2
165	на котором	2	2
166	и во	2	2
167	в понятии	5	2
168	все еще	2	2
169	или иного	2	2
170	и эти	2	2
171	же в	2	2
172	но как	3	2
173	только потому	2	2
174	то в	3	2
175	но не	6	2
176	ни один	4	2
177	со всеми	6	2
178	на основании	11	2
179	как мы	8	2
180	и у	6	2
181	и для	2	2
182	у человека	2	2
183	или в	2	2
184	или иначе	2	2
185	во всяком	4	2
186	могут быть	5	2
187	как с	4	2
188	в себе	2	2
189	в его	15	2
