N	2gram	Berdyaev_O_1	formyVre
1	и в	19	46
2	в этом	12	22
3	прежде всего	9	14
4	и его	4	12
5	не только	11	11
6	в том	5	10
7	как бы	3	10
8	но в	2	10
9	у него	22	9
10	не в	11	9
11	но и	13	9
12	и не	13	9
13	и для	2	9
14	как и	6	8
15	в его	7	8
16	того чтобы	4	8
17	для того	3	8
18	потому что	9	8
19	может быть	11	7
20	то что	5	7
21	так и	2	7
22	и на	2	7
23	никогда не	9	6
24	и все	10	6
25	еще не	3	6
26	этом мире	2	6
27	его в	2	6
28	все же	2	6
29	все это	6	6
30	человека в	11	6
31	так как	2	6
32	и с	2	6
33	в своем	2	5
34	он не	7	5
35	в нем	10	5
36	что в	4	5
37	все эти	4	5
38	должно быть	2	5
39	уже в	2	4
40	жизни в	2	4
41	человека и	10	4
42	с ним	3	4
43	том что	2	4
44	так что	2	4
45	что они	2	4
46	а не	11	4
47	и он	8	4
48	в себе	3	4
49	в истории	2	4
50	о том	3	4
51	не было	9	3
52	к этому	2	3
53	что он	3	3
54	для него	5	3
55	хотя и	2	3
56	в этот	2	3
57	что и	2	3
58	ее в	2	3
59	отношение к	5	3
60	всего в	2	3
61	того что	3	3
62	а в	5	3
63	тем что	2	3
64	в другом	2	3
65	в этих	3	3
66	не могли	2	3
67	и есть	3	2
68	это не	3	2
69	что все	2	2
70	их не	2	2
71	по себе	2	2
72	о его	5	2
73	все в	4	2
74	он был	8	2
75	в самой	9	2
76	своей жизни	2	2
77	в этой	5	2
78	с тем	2	2
79	совсем не	2	2
80	все что	3	2
81	до конца	7	2
82	было бы	3	2
83	и к	2	2
84	и о	2	2
85	этого мира	2	2
86	и потому	2	2
87	в уста	2	2
88	не может	4	2
89	на земле	4	2
90	и вот	3	2
91	образ человека	2	2
92	лишь в	7	2
93	человек не	7	2
94	и от	3	2
95	могут быть	3	2
96	но он	7	2
97	него и	4	2
98	человеческой природы	20	2
