N	2gram	Berdyaev_O_1	Marksizm
1	может быть	11	28
2	и в	19	19
3	как бы	3	19
4	и не	13	19
5	не может	4	18
6	и его	4	16
7	в этом	12	15
8	лишь в	7	14
9	не только	11	13
10	в нем	10	11
11	не в	11	10
12	но и	13	10
13	том что	2	10
14	так и	2	10
15	для него	5	9
16	как и	6	9
17	а не	11	9
18	с его	4	8
19	никогда не	9	7
20	в том	5	7
21	его в	2	7
22	но в	2	7
23	прежде всего	9	7
24	и для	2	7
25	того чтобы	4	6
26	в самом	5	6
27	и все	10	6
28	для того	3	6
29	хотя бы	3	6
30	к нему	3	5
31	и на	2	5
32	к этому	2	5
33	в его	7	5
34	все же	2	5
35	в душе	2	4
36	это не	3	4
37	то что	5	4
38	того что	3	4
39	сказать что	2	4
40	в единстве	2	4
41	что он	3	4
42	было бы	3	4
43	и ее	3	4
44	в себе	3	4
45	ничего не	2	4
46	учение о	2	3
47	в этих	3	3
48	и от	3	3
49	в этой	5	3
50	а в	5	3
51	все эти	4	3
52	в другом	2	3
53	не имеет	2	3
54	должно быть	2	3
55	не было	9	3
56	в истории	2	3
57	о том	3	3
58	так как	2	3
59	по себе	2	3
60	в ее	2	3
61	еще не	3	3
62	он не	7	3
63	что и	2	3
64	не есть	2	3
65	в своей	2	3
66	мысли и	3	3
67	и то	2	3
68	могут быть	3	3
69	уже в	2	2
70	что в	4	2
71	то к	2	2
72	вопрос о	10	2
73	он был	8	2
74	из всего	2	2
75	что они	2	2
76	до конца	7	2
77	в своем	2	2
78	и с	2	2
79	даже и	2	2
80	у него	22	2
81	различие между	3	2
82	ведь это	2	2
83	и о	2	2
84	и потому	2	2
85	нем нет	3	2
86	что не	4	2
87	ко всем	2	2
88	и он	8	2
89	тем что	2	2
90	от него	7	2
91	это было	3	2
