N	2gram	Tiupa_Disk_1	Komedia
1	и в	16	22
2	том что	19	12
3	в г	2	11
4	в том	23	11
5	но и	14	11
6	не только	28	10
7	из них	3	10
8	в то	3	10
9	как и	16	9
10	может быть	17	9
11	в одном	2	8
12	таким образом	3	8
13	и не	11	8
14	и его	2	8
15	о том	8	8
16	едва ли	2	7
17	в этой	2	7
18	что в	4	6
19	одного из	2	6
20	что он	4	6
21	к тому	5	6
22	тому же	5	6
23	такого рода	4	6
24	и по	2	6
25	то же	7	6
26	не в	7	6
27	а в	5	6
28	уже в	2	5
29	с другой	10	5
30	прежде всего	11	5
31	при этом	13	5
32	в его	7	5
33	еще в	3	5
34	один из	3	5
35	на его	4	5
36	в истории	4	5
37	так и	8	5
38	как в	10	5
39	другой стороны	3	5
40	и даже	3	5
41	потому что	4	5
42	между тем	4	5
43	именно в	3	4
44	в их	5	4
45	к этому	2	4
46	как мы	2	4
47	в другом	2	4
48	на протяжении	2	4
49	в качестве	34	4
50	же время	4	4
51	а также	8	4
52	в котором	5	4
53	в нем	9	4
54	что и	3	4
55	тем что	3	4
56	точки зрения	3	4
57	ли не	3	4
58	но в	8	4
59	не менее	2	3
60	на сцене	2	3
61	однако в	3	3
62	и одновременно	2	3
63	в них	4	3
64	в тех	2	3
65	и как	6	3
66	х годов	2	3
67	по своему	3	3
68	здесь в	2	3
69	одной стороны	9	3
70	одной из	4	3
71	в начале	2	3
72	в частности	9	3
73	и о	4	3
74	хотя и	2	3
75	все же	3	3
76	отношению к	9	3
77	в целом	4	3
78	отношение к	4	3
79	по отношению	9	3
80	с одной	9	3
81	в году	2	3
82	и на	5	3
83	в этом	15	3
84	могут быть	4	3
85	и ее	2	3
86	только в	7	3
87	как правило	4	3
88	и все	2	3
89	к которому	2	3
90	времени и	3	2
91	в противоположность	2	2
92	в рамках	5	2
93	за пределы	2	2
94	и без	2	2
95	столь же	3	2
96	нельзя не	2	2
97	а сам	2	2
98	и во	2	2
99	указывает на	2	2
100	в свою	3	2
101	на этом	2	2
102	но не	11	2
103	того же	3	2
104	в себя	5	2
105	еще не	14	2
106	в действительности	3	2
107	в самом	3	2
108	для себя	4	2
109	говоря уже	2	2
110	и тем	2	2
111	с ее	2	2
112	то что	5	2
113	не говоря	2	2
114	со стороны	7	2
115	или менее	2	2
116	в сущности	2	2
117	не может	9	2
118	в форме	2	2
119	в принципе	2	2
120	в силу	5	2
121	или в	2	2
122	не следует	2	2
123	во всяком	2	2
124	одну из	2	2
125	что касается	2	2
126	на себя	2	2
127	в своих	3	2
128	в себе	7	2
129	по своей	11	2
130	же самое	2	2
131	будто бы	2	2
132	уже о	2	2
133	отличие от	5	2
134	из наиболее	2	2
