N	2gram	Vygotskiy__2	Morfolog
1	может быть	18	52
2	и т	10	49
3	т д	2	47
4	таким образом	21	20
5	не может	17	17
6	в этих	2	16
7	могут быть	4	15
8	с этим	4	14
9	и в	32	13
10	в этом	13	13
11	действующих лиц	3	13
12	эта форма	2	13
13	так как	12	12
14	мы видим	4	11
15	видим что	3	10
16	заметить что	2	10
17	так и	3	9
18	то же	13	9
19	и не	10	9
20	а не	7	9
21	мы имеем	4	9
22	с другой	3	8
23	по существу	3	8
24	что и	17	8
25	при помощи	10	8
26	все же	4	7
27	или же	3	7
28	имеем в	2	7
29	это не	2	6
30	не могут	3	6
31	и здесь	2	6
32	в том	37	6
33	но не	2	6
34	а в	4	6
35	подобно тому	2	6
36	не менее	8	5
37	тому как	3	5
38	если мы	12	5
39	наряду с	4	5
40	вслед за	5	5
41	во всех	3	5
42	далеко не	5	5
43	как бы	6	5
44	один из	3	5
45	то что	21	5
46	потому что	21	5
47	мы не	3	5
48	что в	20	4
49	и как	7	4
50	вовсе не	2	4
51	об этом	3	4
52	что его	5	4
53	тем не	4	4
54	было бы	11	4
55	на его	2	4
56	несмотря на	4	4
57	не только	12	4
58	то это	3	4
59	как в	9	4
60	другой стороны	2	4
61	так же	18	4
62	показать что	5	4
63	как и	10	4
64	там где	2	4
65	тем что	9	4
66	точки зрения	17	4
67	с точки	10	4
68	на этом	3	4
69	также и	2	4
70	если в	2	4
71	ничего не	4	4
72	в других	2	4
73	в ход	2	3
74	если бы	6	3
75	в какой	2	3
76	том что	21	3
77	но это	2	3
78	что они	7	3
79	в целом	4	3
80	форма в	2	3
81	того чтобы	14	3
82	в сущности	7	3
83	он не	6	3
84	ни в	2	3
85	но и	10	3
86	на него	2	3
87	от того	4	3
88	целый ряд	6	3
89	на самом	5	3
90	самом деле	16	3
91	и отсюда	2	3
92	из которых	2	3
93	и по	4	3
94	к нему	2	3
95	и для	4	3
96	мы можем	3	3
97	из них	4	3
98	и ее	3	3
99	в то	5	3
100	мы должны	3	3
101	с того	2	3
102	если же	4	3
103	но в	3	3
104	значит что	3	3
105	если она	2	2
106	не сумеем	5	2
107	можно показать	2	2
108	и более	4	2
109	с тем	11	2
110	в частности	3	2
111	хотя бы	3	2
112	та же	3	2
113	точно так	3	2
114	состоит в	3	2
115	что он	13	2
116	утверждать что	4	2
117	и к	3	2
118	и при	2	2
119	вывод что	2	2
120	только в	7	2
121	а на	4	2
122	тем и	2	2
123	то время	3	2
124	во сне	2	2
125	не значит	2	2
126	показать как	2	2
127	оно не	2	2
128	не существует	2	2
129	то как	3	2
130	есть нечто	2	2
131	и таким	2	2
132	и только	2	2
133	а с	2	2
134	все эти	7	2
135	и наоборот	2	2
136	и что	22	2
137	того что	8	2
138	для того	13	2
139	не имеет	4	2
140	и его	7	2
141	можно было	7	2
142	с двумя	2	2
143	в каком	3	2
144	мы получаем	2	2
145	этот вопрос	3	2
146	о том	6	2
147	в свое	2	2
148	ясно что	7	2
149	сказать что	7	2
150	как это	4	2
151	время как	3	2
152	это было	3	2
