N	2gram	Losev_Vlad_3	KulturaY
1	в том	18	30
2	и в	40	24
3	потому что	11	23
4	том что	18	21
5	что в	17	17
6	того чтобы	3	17
7	для того	2	16
8	было бы	4	15
9	в этом	16	14
10	точки зрения	13	14
11	может быть	8	13
12	все же	4	12
13	таким образом	11	12
14	в его	14	12
15	и не	25	12
16	не в	3	11
17	только в	13	11
18	вовсе не	13	10
19	в силу	2	10
20	в самом	4	10
21	у нас	5	10
22	не только	25	10
23	хотя бы	6	10
24	если бы	3	9
25	то что	28	9
26	прежде всего	10	9
27	того что	7	9
28	с точки	6	9
29	о том	11	9
30	так как	7	9
31	а только	7	8
32	то же	4	8
33	уже не	9	8
34	а не	8	8
35	как раз	10	8
36	тем что	5	8
37	не менее	9	7
38	с другой	5	7
39	связи с	2	7
40	в качестве	3	7
41	как бы	3	7
42	вместе с	7	7
43	не может	14	7
44	это не	3	7
45	бы в	2	7
46	так и	6	7
47	в какой	2	6
48	именно в	3	6
49	что он	5	6
50	при этом	3	6
51	в ней	5	6
52	но и	18	6
53	что же	9	6
54	другой стороны	2	6
55	можно было	5	6
56	все эти	5	6
57	мы имеем	3	6
58	в которой	2	6
59	еще и	18	5
60	с тем	7	5
61	что это	9	5
62	к тому	7	5
63	но не	4	5
64	еще не	4	5
65	всяком случае	3	5
66	и что	8	5
67	но уже	2	5
68	этом отношении	2	5
69	в виду	3	5
70	не просто	10	5
71	и вовсе	3	5
72	а в	7	5
73	и его	10	5
74	в результате	4	5
75	во всяком	3	5
76	xix века	6	5
77	и с	9	5
78	учение о	24	4
79	с его	2	4
80	в этих	2	4
81	же касается	5	4
82	и потому	10	4
83	на то	4	4
84	в нем	3	4
85	указать на	4	4
86	же в	3	4
87	по существу	4	4
88	того же	2	4
89	из них	2	4
90	что и	7	4
91	не есть	10	4
92	тем не	10	4
93	в целом	2	4
94	со стороны	2	4
95	не на	2	4
96	с этим	2	4
97	тем самым	2	4
98	так что	14	4
99	так же	8	4
100	роль в	2	4
101	и на	6	4
102	в данном	5	4
103	из этих	3	4
104	уже в	3	3
105	нисколько не	3	3
106	как на	3	3
107	если не	6	3
108	на себя	2	3
109	в духе	3	3
110	этом смысле	3	3
111	то это	10	3
112	сводится к	3	3
113	в этой	8	3
114	и если	7	3
115	в сущности	2	3
116	не имеют	2	3
117	но еще	2	3
118	в котором	4	3
119	в истории	5	3
120	даже в	4	3
121	оно не	3	3
122	не с	4	3
123	что она	2	3
124	или менее	5	3
125	тому что	4	3
126	в своем	8	3
127	в связи	3	3
128	а с	4	3
129	не было	5	3
130	только и	5	3
131	с большим	3	3
132	в их	2	3
133	более или	5	3
134	и даже	6	3
135	в таком	3	3
136	несмотря на	7	3
137	должно быть	5	3
138	должна быть	2	3
139	и здесь	6	3
140	с их	3	3
141	и то	9	3
142	хотя и	7	3
143	даже и	12	3
144	себе в	2	3
145	в себе	9	3
146	здесь не	3	3
147	а если	2	3
148	как это	4	3
149	в одном	5	3
150	не все	3	2
151	я не	3	2
152	только к	2	2
153	и более	2	2
154	можно ли	2	2
155	никогда не	11	2
156	с этой	2	2
157	не является	2	2
158	и все	4	2
159	но с	2	2
160	что касается	2	2
161	этого не	3	2
162	что все	7	2
163	на самом	3	2
164	так или	2	2
165	не могут	2	2
166	вопрос о	4	2
167	по себе	6	2
168	когда оно	2	2
169	быть в	2	2
170	если мы	4	2
171	в смысле	6	2
172	к своему	2	2
173	в то	7	2
174	для нас	5	2
175	что его	2	2
176	как и	7	2
177	и как	7	2
178	но все	3	2
179	это есть	10	2
180	в сторону	2	2
181	что если	4	2
182	а то	2	2
183	же время	2	2
184	в это	2	2
185	между прочим	5	2
186	в своей	9	2
187	по преимуществу	2	2
188	никак не	4	2
189	же и	2	2
190	но если	5	2
191	себе и	2	2
192	был бы	3	2
193	и тем	3	2
194	ее в	3	2
195	и против	3	2
196	ни в	10	2
197	бы и	4	2
198	а именно	12	2
199	то и	2	2
200	как например	2	2
201	он не	8	2
202	и для	3	2
203	в разных	2	2
204	не мог	6	2
205	как именно	3	2
206	свидетельствует о	2	2
207	не имеет	4	2
208	бы на	2	2
209	или иначе	2	2
210	не столько	3	2
211	также и	17	2
212	которое в	3	2
213	от этого	2	2
214	как с	2	2
215	в каком	4	2
216	на более	2	2
217	и еще	2	2
218	но вот	3	2
219	иной раз	6	2
220	до конца	4	2
221	которые можно	2	2
222	ничего не	5	2
223	но в	4	2
224	это было	3	2
