N	3gram	Potebnia_M_3	Dialekti
1	и т д	3	19
2	сама по себе	2	8
3	в том что	16	7
4	сам по себе	5	6
5	не есть ни	4	6
6	само по себе	3	5
7	то же время	5	4
8	по крайней мере	5	4
9	в то же	5	4
10	одно и то	5	4
11	с другой стороны	4	4
12	и то же	5	4
13	потому что он	3	3
14	только потому что	2	3
15	можно сказать что	2	3
16	более или менее	3	3
17	не может быть	3	3
18	потому что и	2	2
19	к тому что	2	2
20	то что я	2	2
21	с одной стороны	3	2
22	что он не	3	2
23	и т п	2	2
24	в этом отношении	2	2
25	до сих пор	3	2
26	по себе а	4	2
27	с этой стороны	2	2
