N	3gram	Vygotskiy__4	Myshleni
1	с точки зрения	4	18
2	в том что	12	15
3	для того чтобы	19	15
4	так же точно	5	9
5	с другой стороны	2	9
6	с самого начала	5	8
7	с одной стороны	3	8
8	о том что	10	6
9	заключается в том	3	6
10	в то время	2	5
11	так же как	3	5
12	вместе с тем	2	5
13	до сих пор	3	4
14	то время как	2	4
15	друг с другом	4	4
16	смысле этого слова	3	3
17	с таким образом	2	3
18	к тому что	5	3
19	сам по себе	2	3
20	на то что	6	3
21	то же самое	6	3
22	можно было бы	4	3
23	во всяком случае	3	3
24	таким образом что	2	3
25	в том чтобы	3	3
26	и той же	2	2
27	в сущности говоря	2	2
28	том что он	3	2
29	в самом деле	7	2
30	в приложении к	2	2
31	шаг за шагом	3	2
32	и в частности	2	2
33	в какой мере	2	2
34	что может быть	2	2
35	одной и той	2	2
36	вместо того чтобы	2	2
37	речь идет о	2	2
