N	2gram	Voloshinov_1	VelikijI
1	и не	10	20
2	и в	12	16
3	то что	5	9
4	так как	9	9
5	еще не	3	8
6	и потому	2	7
7	а не	5	7
8	не есть	2	6
9	как бы	13	5
10	но и	3	5
11	все это	3	5
12	того что	3	5
13	в нем	6	4
14	как и	5	4
15	что мы	5	4
16	в котором	3	4
17	так и	4	4
18	что не	4	4
19	в этом	4	4
20	в ней	6	4
21	и все	2	4
22	в его	2	4
23	с его	2	3
24	должна быть	5	3
25	что в	2	3
26	в этих	2	3
27	в них	3	3
28	в жизни	5	3
29	ни в	3	3
30	в том	6	3
31	не в	4	3
32	но это	2	3
33	никогда не	5	3
34	оно не	2	3
35	что и	2	3
36	жизни и	4	3
37	как не	2	3
38	в своей	3	3
39	и что	2	3
40	хотя бы	5	3
41	и для	3	3
42	нас и	2	3
43	все эти	3	3
44	нет ничего	2	3
45	в чем	2	3
46	но в	5	3
47	это не	2	2
48	прежде всего	8	2
49	ее и	3	2
50	его к	2	2
51	есть уже	2	2
52	для нас	7	2
53	да и	3	2
54	том что	5	2
55	а к	2	2
56	но не	2	2
57	не к	3	2
58	конечно не	3	2
59	для него	3	2
60	не только	4	2
61	значения и	2	2
62	но мы	2	2
63	в форме	2	2
64	в себя	2	2
65	мы не	3	2
66	уже не	4	2
67	не так	2	2
68	с ним	3	2
69	и то	2	2
70	между тем	3	2
71	могут быть	2	2
72	только в	6	2
