N	2gram	Propp_Isto_4	OGranits
1	и в	26	13
2	и его	10	12
3	не может	6	8
4	и не	9	8
5	может быть	14	8
6	и их	2	7
7	и пр	11	7
8	в его	5	7
9	таким образом	10	6
10	не только	15	6
11	то что	16	6
12	только в	3	6
13	мы должны	5	6
14	как бы	3	6
15	все же	9	5
16	хотя бы	2	5
17	то же	8	4
18	но мы	3	4
19	в своей	4	4
20	все это	2	4
21	лишь в	2	4
22	мы можем	6	4
23	было бы	2	4
24	но в	5	4
25	связана с	2	3
26	что в	14	3
27	никогда не	2	3
28	но и	12	3
29	так и	10	3
30	и все	2	3
31	в одном	5	3
32	превращается в	7	3
33	здесь мы	2	3
34	как и	7	3
35	не в	5	3
36	и то	6	3
37	поставить вопрос	2	3
38	в себе	2	3
39	с этим	2	3
40	так как	9	3
41	но для	2	3
42	не менее	2	2
43	и др	5	2
44	уже в	2	2
45	с этой	2	2
46	а как	2	2
47	и тем	2	2
48	в нем	2	2
49	в целом	2	2
50	их функций	2	2
51	связанных с	2	2
52	данном случае	3	2
53	а не	6	2
54	что эта	3	2
55	в этот	4	2
56	другой стороны	4	2
57	с другой	4	2
58	от своего	3	2
59	в языке	2	2
60	не на	3	2
61	в связи	2	2
62	а в	8	2
63	все эти	3	2
64	вовсе не	4	2
65	те же	3	2
66	в тех	4	2
67	как в	7	2
68	если бы	2	2
69	не имеет	3	2
70	в том	3	2
71	что иное	3	2
72	так же	18	2
73	не мог	3	2
74	мы считаем	2	2
75	том что	3	2
76	мы видим	6	2
77	с ними	5	2
78	с помощью	2	2
79	этот материал	2	2
80	в данном	3	2
81	что они	6	2
82	в этом	7	2
83	тем что	5	2
84	могут быть	6	2
85	при этом	3	2
86	связанные с	3	2
87	не что	3	2
88	в другом	5	2
89	во всем	3	2
90	мы уже	5	2
91	его на	4	2
92	в области	2	2
93	и при	3	2
94	там где	3	2
95	иное как	3	2
96	а также	3	2
