N	2gram	Tiupa_Lite_2	Problema
1	и в	19	44
2	вовсе не	2	37
3	и не	11	35
4	то есть	5	34
5	может быть	17	28
6	потому что	2	25
7	то что	7	23
8	в том	10	21
9	а не	20	18
10	в этом	9	17
11	для нас	2	16
12	даже и	2	16
13	и даже	8	14
14	не только	8	14
15	и то	3	14
16	не в	4	13
17	и т	2	13
18	то же	12	13
19	так что	4	12
20	но в	2	12
21	том что	7	12
22	не является	2	11
23	не менее	6	10
24	но и	10	10
25	в виду	2	10
26	отнюдь не	4	10
27	у нас	5	10
28	как и	10	10
29	тем не	2	10
30	так и	7	10
31	в нем	3	9
32	и с	3	9
33	как бы	2	9
34	так как	3	9
35	что он	3	9
36	в то	9	9
37	в его	4	9
38	что и	2	9
39	в данном	3	9
40	что в	4	8
41	а именно	3	8
42	того что	5	8
43	но это	3	8
44	было бы	2	8
45	он не	5	8
46	как раз	2	8
47	в себе	6	8
48	с другой	8	7
49	данном случае	3	7
50	не может	9	7
51	уже не	2	7
52	и что	2	7
53	с ним	2	7
54	мы не	4	7
55	никогда не	3	6
56	для этого	2	6
57	в целом	2	6
58	такого рода	9	6
59	жизни и	4	6
60	и только	2	6
61	но только	2	6
62	и к	2	6
63	о том	2	6
64	все же	2	6
65	не было	2	5
66	в нашем	2	5
67	в конце	2	5
68	крайней мере	2	5
69	с тем	2	5
70	и сам	2	5
71	в ней	4	5
72	другой стороны	4	5
73	то и	3	5
74	а в	3	5
75	точки зрения	4	5
76	по крайней	2	5
77	этом случае	2	5
78	еще не	2	5
79	тем самым	3	5
80	и его	3	5
81	едва ли	4	5
82	при этом	6	4
83	и без	2	4
84	в искусстве	4	4
85	но как	2	4
86	а также	2	4
87	в ее	2	4
88	тем что	4	4
89	уже в	2	3
90	же как	2	3
91	прежде всего	4	3
92	ни было	2	3
93	и как	3	3
94	в этой	3	3
95	для него	4	3
96	жизни а	2	3
97	не так	2	3
98	с этой	2	3
99	могло бы	2	3
100	же в	2	3
101	то в	2	3
102	но не	5	3
103	в качестве	5	3
104	одно и	2	3
105	в художественном	2	3
106	но уже	2	3
107	все равно	2	3
108	из того	2	3
109	хотя бы	2	3
110	слова и	7	3
111	ничего не	3	3
112	в частности	4	2
113	того же	4	2
114	не столько	3	2
115	и нет	2	2
116	тем же	3	2
117	однако в	6	2
118	с ее	2	2
119	из них	2	2
120	и за	2	2
121	и до	2	2
122	в их	3	2
123	с одной	7	2
124	друг друга	2	2
125	как на	3	2
126	в результате	2	2
127	в основе	2	2
128	он и	2	2
129	в начале	3	2
130	не знали	3	2
131	как это	2	2
132	в стихотворении	13	2
133	по существу	3	2
134	а к	2	2
135	во всех	3	2
136	нам представляется	2	2
137	себе не	2	2
138	для себя	2	2
139	себя в	6	2
140	вместе с	5	2
141	тишина и	2	2
142	героя в	2	2
143	из которых	2	2
144	и для	3	2
145	с точки	3	2
146	в сравнении	2	2
147	сравнении с	2	2
148	но с	3	2
149	могут быть	2	2
150	в другом	3	2
