N	2gram	Vinokur_Ku_3	Mirosoze
1	и в	23	46
2	может быть	14	21
3	в этом	16	20
4	и не	10	18
5	не только	17	18
6	но и	3	15
7	не может	6	15
8	как и	5	13
9	не есть	3	13
10	а не	11	13
11	прежде всего	9	12
12	потому что	12	12
13	не было	4	11
14	в ней	3	11
15	у нас	10	11
16	но в	2	10
17	он не	3	10
18	не в	5	9
19	не знает	2	9
20	и есть	5	8
21	но это	5	8
22	как бы	5	8
23	в своем	4	8
24	так как	9	8
25	отношение к	3	8
26	она не	3	8
27	в нашем	7	7
28	что он	6	7
29	и к	3	7
30	как в	4	7
31	хотя бы	9	7
32	вопрос о	11	6
33	что это	3	6
34	так же	2	6
35	того что	11	6
36	и здесь	2	6
37	доходит до	2	6
38	то же	6	5
39	я не	5	5
40	бы и	3	5
41	в отношении	3	5
42	что все	2	5
43	и вот	3	5
44	в самом	13	5
45	один из	4	5
46	что она	5	5
47	те же	7	5
48	это не	3	5
49	есть не	3	5
50	к тому	3	5
51	по преимуществу	3	5
52	то что	4	5
53	в своей	4	5
54	для того	12	5
55	в его	11	5
56	что в	13	4
57	тому что	4	4
58	для этого	6	4
59	они не	3	4
60	не имеет	3	4
61	в русском	2	4
62	также и	5	4
63	том что	11	4
64	что и	6	4
65	так и	6	4
66	т е	32	4
67	уже не	8	4
68	того чтобы	11	4
69	вопроса о	3	4
70	ни в	3	3
71	в том	22	3
72	что они	2	3
73	смысле слова	2	3
74	не так	3	3
75	сказать что	7	3
76	и с	3	3
77	о том	6	3
78	его в	2	3
79	как он	2	3
80	в россии	2	3
81	и должно	5	3
82	если бы	8	3
83	к другому	2	3
84	это и	3	3
85	до сих	8	3
86	сих пор	8	3
87	от того	5	3
88	того как	7	3
89	чтобы не	2	3
90	той же	3	3
91	тем что	5	3
92	он в	2	3
93	только в	6	3
94	в чем	5	3
95	а лишь	3	2
96	уже в	3	2
97	но на	3	2
98	в этих	2	2
99	понял что	2	2
100	или иной	7	2
101	я и	3	2
102	и если	2	2
103	есть также	2	2
104	она есть	2	2
105	но для	3	2
106	хотя и	5	2
107	по отношению	3	2
108	что есть	2	2
109	как к	2	2
110	лишь в	8	2
111	должно быть	7	2
112	а в	5	2
113	увидим что	2	2
114	не о	2	2
115	точки зрения	23	2
116	не случайно	4	2
117	е в	2	2
118	между тем	4	2
119	на этом	2	2
120	были бы	4	2
121	не означает	2	2
122	то он	3	2
123	тогда когда	4	2
124	по себе	6	2
125	для нашей	4	2
126	то в	3	2
127	связи с	6	2
128	чем в	2	2
129	после того	6	2
130	и что	7	2
131	тот же	6	2
132	и тот	2	2
133	в сущности	4	2
134	отношению к	2	2
135	вместе с	2	2
136	что же	5	2
137	бы не	3	2
138	еще более	2	2
139	более чем	2	2
140	что не	4	2
141	ни одного	2	2
142	можно было	11	2
143	тому как	2	2
144	нас в	3	2
145	сам по	3	2
146	которые в	4	2
147	ничего не	6	2
