N	3gram	Tiupa_Lite_3	Narrotol
1	в том что	4	8
2	с одной стороны	4	7
3	в том числе	3	6
4	о том что	4	6
5	по отношению к	4	6
6	в отличие от	5	5
7	не может быть	3	5
8	том числе и	2	4
9	той или иной	2	4
10	в данном случае	4	4
11	к тому же	5	4
12	с другой стороны	2	4
13	то ни было	2	3
14	то же время	7	3
15	состоит в том	2	3
16	бы то ни	2	3
17	в этом отношении	5	3
18	и тем самым	2	3
19	в то же	7	3
20	так или иначе	2	2
21	присутствия в мире	6	2
22	тогда как в	3	2
23	не только в	2	2
24	с точки зрения	3	2
25	подобно тому как	2	2
