N	2gram	Nazirov_Tr_1	PoTuStor
1	может быть	7	17
2	и в	18	16
3	прежде всего	4	9
4	в этом	9	9
5	и его	6	8
6	и с	7	8
7	не может	5	8
8	с его	2	7
9	не только	8	7
10	и это	2	6
11	для него	3	6
12	при этом	3	6
13	отношение к	2	5
14	все эти	3	5
15	ни в	2	5
16	еще не	4	5
17	как бы	7	5
18	в нем	4	4
19	отнюдь не	3	4
20	но и	4	4
21	так и	5	4
22	все это	4	4
23	и все	4	4
24	и не	7	4
25	и ее	2	4
26	и даже	4	4
27	и на	7	4
28	в этой	4	4
29	с ее	3	4
30	его в	2	4
31	но в	6	4
32	в его	3	4
33	что в	4	3
34	ребенка и	2	3
35	в одном	2	3
36	в том	2	3
37	том что	4	3
38	и как	3	3
39	то что	4	3
40	если б	2	3
41	как это	3	3
42	в основном	3	3
43	один из	3	2
44	не могут	2	2
45	что и	2	2
46	в душе	2	2
47	в частности	2	2
48	никогда не	2	2
49	ненависть к	2	2
50	то же	5	2
51	что он	6	2
52	у него	6	2
53	как и	5	2
54	так же	4	2
55	но это	4	2
56	он не	2	2
57	что это	5	2
58	о том	2	2
59	в самом	2	2
60	во сне	2	2
61	с ним	3	2
