N	2gram	Medvedev_F_2	StatiiOP
1	и в	38	44
2	в том	11	36
3	и т	14	30
4	что в	7	30
5	том что	2	29
6	т д	5	21
7	в этом	27	21
8	вовсе не	11	19
9	то что	6	18
10	не только	9	18
11	было бы	6	17
12	а в	6	17
13	и не	20	16
14	а не	6	16
15	т е	26	15
16	может быть	23	15
17	в области	3	14
18	как в	4	13
19	не в	15	12
20	в этой	6	11
21	самом деле	8	11
22	того чтобы	3	11
23	точки зрения	8	11
24	для того	3	10
25	что он	5	10
26	но и	13	10
27	но в	4	10
28	только в	6	10
29	с другой	3	9
30	если бы	5	9
31	в то	5	9
32	как и	9	9
33	того что	3	9
34	т п	9	9
35	во второй	2	9
36	так и	8	9
37	в его	10	9
38	например в	3	8
39	во всех	5	8
40	все же	8	8
41	из них	4	8
42	не может	14	8
43	и его	21	8
44	это не	2	8
45	с точки	7	8
46	но ведь	3	8
47	прежде всего	15	7
48	в самом	16	7
49	в статье	4	7
50	другой стороны	4	7
51	таким образом	20	7
52	этом отношении	7	7
53	сказать что	2	7
54	что они	4	7
55	потому что	2	6
56	из этих	3	6
57	но это	2	6
58	для него	7	6
59	что и	8	6
60	в своей	7	6
61	со стороны	2	6
62	что же	5	6
63	именно в	5	6
64	на самом	3	6
65	в той	2	6
66	во всяком	5	6
67	хотя бы	6	6
68	всяком случае	5	6
69	никогда не	2	5
70	была бы	3	5
71	такой же	3	5
72	совершенно не	4	5
73	в котором	2	5
74	в нем	13	5
75	в целом	3	5
76	жизни и	3	5
77	все это	3	5
78	вряд ли	2	5
79	то же	6	5
80	и даже	4	5
81	и по	2	5
82	в слове	5	5
83	и то	2	5
84	тем что	8	5
85	могут быть	6	5
86	все эти	6	5
87	так как	4	5
88	там где	4	5
89	в основу	2	4
90	что это	3	4
91	своей статье	3	4
92	столь же	2	4
93	представление о	2	4
94	или иного	5	4
95	в ее	2	4
96	это и	5	4
97	же время	5	4
98	но все	3	4
99	должна была	2	4
100	является не	2	4
101	в качестве	2	4
102	того или	4	4
103	же и	2	4
104	как раз	6	4
105	как бы	4	4
106	даже не	2	4
107	не было	6	4
108	еще более	5	4
109	во втором	7	4
110	не имеет	2	4
111	научной работы	2	4
112	языка и	12	4
113	этот вопрос	2	4
114	как это	2	4
115	в которой	2	4
116	в основе	5	3
117	по этому	2	3
118	тому что	2	3
119	в какой	3	3
120	и с	9	3
121	не является	3	3
122	в конце	2	3
123	в применении	2	3
124	должна быть	5	3
125	этих двух	2	3
126	в тех	2	3
127	же это	2	3
128	ни в	2	3
129	он был	2	3
130	то в	2	3
131	же как	3	3
132	но не	2	3
133	что не	4	3
134	и для	5	3
135	не по	2	3
136	в ней	6	3
137	даже в	2	3
138	и тем	2	3
139	то это	3	3
140	что о	2	3
141	в истории	6	3
142	а именно	2	3
143	и только	5	3
144	что для	2	3
145	что оно	4	3
146	лишь в	7	3
147	применении к	2	3
148	тем же	3	3
149	в таком	2	3
150	и нужно	2	3
151	в чем	2	3
152	как к	3	3
153	в результате	6	3
154	к сожалению	2	3
155	вопроса о	2	3
156	без всякой	3	3
157	если это	2	3
158	между тем	2	3
159	с этим	5	3
160	произведения в	2	2
161	истории литературы	6	2
162	уже в	2	2
163	совсем не	2	2
164	а как	3	2
165	всех этих	3	2
166	в этих	2	2
167	материала и	4	2
168	даже и	4	2
169	превращается в	2	2
170	как о	4	2
171	в такой	2	2
172	только тем	2	2
173	что на	2	2
174	по существу	7	2
175	идет о	2	2
176	и более	2	2
177	литературы и	4	2
178	при этом	9	2
179	говорит в	5	2
180	быть и	3	2
181	она не	2	2
182	но именно	3	2
183	в сущности	4	2
184	в сторону	4	2
185	и иные	2	2
186	совпадает с	2	2
187	должно было	3	2
188	если в	3	2
189	в первом	7	2
190	отношение к	2	2
191	разница между	2	2
192	и их	3	2
193	и речи	5	2
194	е как	2	2
195	для этого	2	2
196	в эпоху	2	2
197	тем самым	2	2
198	есть только	2	2
199	не была	2	2
200	в других	7	2
201	мы не	3	2
202	ничего не	4	2
203	их в	2	2
204	языка не	2	2
205	от этого	3	2
206	однако и	3	2
207	ни на	2	2
208	он не	6	2
209	что эта	2	2
210	говорить о	5	2
211	нужно было	2	2
212	и все	3	2
213	его в	3	2
214	при помощи	2	2
215	и это	2	2
216	том смысле	3	2
217	статье о	2	2
218	к нему	3	2
219	должен был	2	2
220	или же	2	2
221	отметить что	2	2
