N	2gram	Berdyaev_M_1	Problema
1	то есть	3	46
2	в его	9	43
3	и не	11	42
4	и в	28	38
5	не может	28	27
6	может быть	30	26
7	как бы	2	22
8	по отношению	2	21
9	отношению к	2	19
10	и с	3	17
11	и его	9	16
12	в нем	13	15
13	в этом	20	15
14	прежде всего	10	13
15	только в	6	13
16	за пределы	4	12
17	но не	8	12
18	и для	2	11
19	к нему	7	10
20	отношение к	4	10
21	в их	4	10
22	но и	25	9
23	не имеет	3	9
24	его в	3	9
25	не только	29	9
26	место в	2	8
27	в том	6	8
28	и как	2	8
29	точки зрения	4	8
30	было бы	10	8
31	то что	5	8
32	входит в	2	8
33	что в	10	7
34	вообще не	2	7
35	не в	16	7
36	в самом	11	7
37	как и	5	7
38	в своей	15	7
39	не к	4	6
40	а в	4	6
41	не есть	9	6
42	все же	2	6
43	отношения к	4	6
44	ничего не	3	6
45	в своем	10	5
46	это не	5	5
47	высшей степени	2	5
48	никогда не	14	5
49	все эти	2	5
50	должно быть	3	5
51	в основе	2	5
52	с ним	2	5
53	в них	4	5
54	в высшей	2	5
55	конечно не	3	5
56	а не	25	5
57	могут быть	2	5
58	должна быть	6	4
59	в ней	15	4
60	в виду	2	4
61	сказать что	2	4
62	в более	2	4
63	в то	2	4
64	о том	2	4
65	и потому	10	4
66	но в	7	4
67	понять его	2	4
68	в ее	3	4
69	относится к	2	4
70	как в	2	4
71	хотя бы	3	4
72	в себе	7	4
73	себя и	3	3
74	и от	2	3
75	его как	2	3
76	лишь момент	2	3
77	все это	6	3
78	есть лишь	9	3
79	и на	6	3
80	также и	2	3
81	а как	2	3
82	если бы	2	3
83	природу и	2	3
84	и все	10	3
85	и к	2	3
86	она может	2	3
87	том что	3	3
88	к миру	2	3
89	от него	4	3
90	все что	2	3
91	мы увидим	3	3
92	он не	24	3
93	нет и	5	3
94	в иных	3	3
95	приводит к	2	3
96	в мире	10	3
97	менее всего	7	3
98	не знает	4	3
99	и это	12	3
100	чем в	2	2
101	на этом	3	2
102	не могут	5	2
103	человек в	9	2
104	и есть	14	2
105	в этих	4	2
106	и мир	2	2
107	отношения и	2	2
108	с самим	2	2
109	смысле слова	4	2
110	в свою	2	2
111	ивана карамазова	7	2
112	и у	2	2
113	в котором	8	2
114	ни с	4	2
115	отличается от	2	2
116	особенно в	3	2
117	не было	18	2
118	человека как	2	2
119	в самой	7	2
120	лишь в	6	2
121	и что	2	2
122	того что	7	2
123	есть только	2	2
124	его не	3	2
125	и те	2	2
126	мир в	3	2
127	в начале	2	2
128	в истории	2	2
129	проникает в	2	2
130	в россии	2	2
131	в него	3	2
132	с его	3	2
133	он должен	3	2
134	и во	2	2
135	не все	2	2
136	к этому	2	2
137	есть не	4	2
138	что он	10	2
139	у нас	5	2
140	она не	4	2
141	так называемый	2	2
142	должен быть	2	2
143	что и	4	2
144	себя в	3	2
145	не остается	2	2
146	бы не	2	2
147	человека в	13	2
148	того чтобы	2	2
149	для того	2	2
150	к чему	2	2
151	и он	12	2
152	тем что	4	2
