N	2gram	Bakhtin_Fr_3	Narrotol
1	не только	13	32
2	может быть	9	25
3	но и	11	23
4	и не	13	20
5	и в	40	19
6	то есть	18	19
7	в том	8	18
8	в этом	15	17
9	в частности	3	14
10	том что	4	14
11	а не	5	12
12	своего рода	2	12
13	то что	5	11
14	а в	3	11
15	не может	3	10
16	точки зрения	2	10
17	при этом	3	9
18	так и	3	9
19	в его	13	9
20	в мире	4	9
21	с другой	2	8
22	и т.п	10	8
23	в себе	3	8
24	времени и	2	7
25	как и	11	7
26	еще не	3	7
27	такого рода	3	7
28	ни для	4	7
29	а также	4	7
30	все же	2	7
31	как в	3	7
32	по отношению	3	7
33	том числе	3	6
34	с его	3	6
35	что он	2	6
36	отношению к	2	6
37	но не	2	6
38	именно в	2	6
39	в той	6	6
40	на протяжении	3	6
41	о том	4	6
42	но в	8	6
43	и как	3	5
44	нуждается в	3	5
45	или иной	2	5
46	можно сказать	2	5
47	в форме	2	5
48	к нему	2	5
49	и его	17	5
50	в данном	4	5
51	в основе	5	5
52	в отличие	3	5
53	отличие от	3	5
54	в этой	3	5
55	далеко не	2	5
56	переход от	2	4
57	прежде всего	16	4
58	одного из	2	4
59	в нем	5	4
60	у него	8	4
61	то же	7	4
62	основе своей	2	4
63	но все	3	4
64	же время	6	4
65	было бы	4	4
66	связи с	6	4
67	одной из	2	4
68	той или	2	4
69	как бы	3	4
70	о нем	3	4
71	хотя бы	2	4
72	данном случае	2	4
73	в особенности	5	4
74	те же	5	4
75	числе и	2	4
76	сказать что	3	4
77	только в	3	4
78	здесь не	3	4
79	и с	8	4
80	не менее	2	3
81	что в	12	3
82	уже в	2	3
83	из этих	2	3
84	ни в	4	3
85	это и	2	3
86	одна из	3	3
87	в сущности	9	3
88	в ней	4	3
89	он не	9	3
90	и даже	4	3
91	один из	4	3
92	из них	4	3
93	жизни и	4	3
94	в ее	3	3
95	особенно в	4	3
96	этом отношении	2	3
97	как мы	10	3
98	и на	8	3
99	между тем	3	3
100	тем что	3	3
101	в то	6	3
102	включает в	2	2
103	в общей	2	2
104	в своем	7	2
105	здесь и	5	2
106	в литературе	5	2
107	была и	2	2
108	между ними	3	2
109	в значительной	3	2
110	как известно	2	2
111	для него	5	2
112	например в	2	2
113	значительной степени	2	2
114	вплоть до	3	2
115	и потому	4	2
116	и др	7	2
117	даже в	4	2
118	в культуре	4	2
119	и до	8	2
120	жизнью и	4	2
121	который в	2	2
122	отношение к	8	2
123	во всей	3	2
124	как раз	5	2
125	в связи	5	2
126	не было	5	2
127	все эти	8	2
128	хотя в	2	2
129	они не	3	2
130	самом деле	3	2
131	одним из	2	2
132	и для	5	2
133	это не	2	2
134	роль в	4	2
135	можно было	3	2
136	нового времени	2	2
137	одно из	3	2
138	и ее	2	2
139	но как	2	2
140	со смертью	2	2
141	все то	2	2
142	этого слова	2	2
143	и все	9	2
144	о чем	2	2
