N	2gram	Potebnia_M_4	VeschiIm
1	не есть	9	49
2	не может	11	33
3	не только	10	31
4	может быть	26	29
5	и не	18	28
6	и в	23	26
7	то что	29	24
8	и есть	3	23
9	и т	7	21
10	т д	3	20
11	а не	12	20
12	есть только	5	17
13	что я	11	16
14	в смысле	3	15
15	и следовательно	3	15
16	что она	2	14
17	только в	15	14
18	и что	7	13
19	того что	14	13
20	по себе	11	13
21	что это	7	12
22	было бы	8	12
23	но и	11	12
24	сказать что	8	12
25	есть не	4	12
26	и то	5	12
27	что же	5	11
28	таким образом	24	11
29	с нею	3	11
30	то же	14	10
31	уже не	3	10
32	в ней	2	10
33	как бы	5	10
34	потому что	33	10
35	что мы	10	10
36	не значит	2	10
37	есть нечто	5	10
38	что такое	7	10
39	в том	23	9
40	в самом	3	9
41	и с	4	9
42	что не	6	9
43	иное как	2	8
44	на то	7	8
45	но это	3	8
46	что иное	2	8
47	не что	2	8
48	в себе	14	8
49	и это	2	8
50	со своим	4	7
51	говорить о	5	7
52	в то	4	7
53	его в	4	7
54	так как	14	7
55	том что	12	7
56	есть и	2	7
57	указывает на	2	7
58	не будет	3	7
59	если оно	2	7
60	и их	3	7
61	с другими	4	7
62	в этом	23	7
63	ее не	3	6
64	оно есть	2	6
65	так что	5	6
66	и как	2	6
67	это есть	3	6
68	но что	2	6
69	что в	17	6
70	для него	5	6
71	со стороны	3	6
72	и только	3	6
73	должно быть	5	6
74	точки зрения	4	6
75	когда мы	6	6
76	но в	8	6
77	по крайней	5	6
78	она не	2	6
79	крайней мере	5	6
80	бы и	5	6
81	если мы	2	6
82	с ним	5	6
83	можно было	2	6
84	а если	2	6
85	не менее	5	5
86	это не	7	5
87	тем не	4	5
88	не в	11	5
89	еще не	3	5
90	из себя	2	5
91	и до	3	5
92	должны быть	3	5
93	а в	5	5
94	отлично от	2	5
95	с тем	7	5
96	если бы	13	5
97	в свою	2	5
98	в ее	2	5
99	у нас	2	5
100	другими словами	8	5
101	в сущности	2	5
102	есть всегда	3	5
103	и для	2	5
104	я не	2	4
105	от ее	2	4
106	в своем	8	4
107	с другой	2	4
108	есть то	4	4
109	как же	4	4
110	явления и	2	4
111	независимо от	6	4
112	же время	3	4
113	и мы	5	4
114	между собою	4	4
115	когда я	7	4
116	судить о	2	4
117	то и	4	4
118	что есть	3	4
119	мы говорим	7	4
120	быть не	2	4
121	от того	4	4
122	и даже	2	4
123	с этим	7	4
124	о том	8	4
125	не существует	2	4
126	и более	4	4
127	и все	4	4
128	то это	8	4
129	как и	14	4
130	на себе	3	4
131	и о	4	4
132	и потому	10	4
133	оно не	2	4
134	что и	7	4
135	быть и	2	4
136	слово и	3	4
137	даже не	2	4
138	этот вопрос	3	4
139	требует чтобы	2	4
140	между ними	4	4
141	с точки	3	4
142	что значит	2	4
143	мы не	8	4
144	в данном	4	4
145	тем что	10	4
146	так то	3	4
147	и другое	2	3
148	никогда не	3	3
149	но даже	2	3
150	собою и	2	3
151	вопрос о	2	3
152	можно сказать	4	3
153	к тому	3	3
154	было в	3	3
155	в нем	7	3
156	сам по	4	3
157	отношение к	2	3
158	все это	5	3
159	можно только	2	3
160	их в	3	3
161	мы имеем	4	3
162	тогда когда	8	3
163	само по	5	3
164	даже и	3	3
165	в одном	4	3
166	один из	2	3
167	что он	4	3
168	и притом	2	3
169	мы видим	2	3
170	тот же	2	3
171	между прочим	3	3
172	к ней	2	3
173	вместе с	6	3
174	так и	6	3
175	да и	4	3
176	только на	4	3
177	в той	4	3
178	самом деле	3	3
179	бы в	2	3
180	того чтобы	4	3
181	хотя бы	4	3
182	тому как	2	3
183	тем более	5	3
184	не то	5	3
185	подобно тому	2	3
186	и вообще	2	3
187	я в	2	3
188	как оно	2	3
189	на вопрос	4	2
190	же мы	2	2
191	тому что	2	2
192	или что	2	2
193	человека и	3	2
194	что на	2	2
195	есть уже	4	2
196	в самой	2	2
197	переход от	3	2
198	кроме того	3	2
199	и если	3	2
200	и та	4	2
201	мы уже	3	2
202	в виду	3	2
203	так или	2	2
204	и тем	4	2
205	данном случае	2	2
206	в разных	3	2
207	в слове	22	2
208	так же	4	2
209	не из	5	2
210	что то	3	2
211	в своих	2	2
212	от одного	3	2
213	в более	2	2
214	что только	2	2
215	в первом	3	2
216	говорится о	2	2
217	как она	2	2
218	то есть	34	2
219	мы можем	10	2
220	ни к	2	2
221	превращается в	2	2
222	говорим что	3	2
223	не с	2	2
224	бы ни	2	2
225	то в	3	2
226	в силу	7	2
227	признать что	2	2
228	не нужно	2	2
229	и может	4	2
230	то необходимо	2	2
231	об этом	2	2
232	он не	2	2
233	и когда	2	2
234	но уже	3	2
235	как в	7	2
236	и сама	2	2
237	мысли и	7	2
238	находится в	5	2
239	тогда как	4	2
240	еще более	2	2
241	все равно	3	2
242	и они	2	2
243	как мы	2	2
244	допустим что	5	2
245	для того	6	2
246	и его	2	2
247	той же	3	2
248	или иначе	2	2
249	во всяком	5	2
250	и таким	3	2
251	ту же	3	2
252	если же	4	2
253	об отношении	2	2
254	в науке	3	2
255	это было	2	2
