N	2gram	Propp_Isto_7	Literetu
1	а не	8	20
2	и в	24	19
3	может быть	14	17
4	своего рода	4	13
5	то же	8	12
6	и не	4	11
7	в том	7	10
8	как и	6	10
9	но и	11	10
10	не может	14	9
11	тогда как	3	9
12	в этом	12	9
13	в то	2	9
14	с другой	9	8
15	не только	21	8
16	и даже	3	8
17	том что	10	7
18	то что	7	7
19	так и	5	7
20	с одной	5	7
21	не менее	5	6
22	одной стороны	5	6
23	при этом	4	6
24	и на	2	6
25	одна из	7	5
26	но не	6	5
27	в качестве	3	5
28	он не	6	5
29	вместе с	7	5
30	так в	4	5
31	того что	6	5
32	что в	13	4
33	прежде всего	2	4
34	не в	9	4
35	того же	2	4
36	но тем	2	4
37	один из	7	4
38	так что	3	4
39	другой стороны	8	4
40	мы не	4	4
41	тем что	6	4
42	точки зрения	4	4
43	в русской	5	4
44	не случайно	3	4
45	обращается к	3	3
46	никогда не	4	3
47	что он	21	3
48	в нем	6	3
49	по существу	4	3
50	но это	3	3
51	и он	3	3
52	во всех	7	3
53	том чтобы	3	3
54	вплоть до	2	3
55	и др	2	3
56	данном случае	3	3
57	со стороны	2	3
58	себе и	3	3
59	а именно	6	3
60	в их	4	3
61	то и	4	3
62	так как	8	3
63	право на	5	3
64	а в	10	3
65	и его	3	3
66	не столько	3	3
67	в данном	4	3
68	ничего не	5	3
69	уже в	3	2
70	же как	4	2
71	у него	10	2
72	восходит к	2	2
73	в них	3	2
74	с этой	6	2
75	в конце	3	2
76	вовсе не	4	2
77	для нас	6	2
78	в ее	2	2
79	тем не	4	2
80	и нет	2	2
81	выше и	2	2
82	тот же	2	2
83	еще не	8	2
84	было бы	2	2
85	со своей	2	2
86	не так	2	2
87	одной из	4	2
88	не по	2	2
89	как бы	4	2
90	не вполне	3	2
91	если в	2	2
92	в руках	2	2
93	что и	8	2
94	как он	6	2
95	все же	9	2
96	и т	17	2
97	из них	2	2
98	это как	2	2
99	уже не	2	2
100	и что	10	2
101	он на	2	2
102	что не	2	2
103	и наконец	3	2
104	друг друга	2	2
105	потому что	9	2
106	в основе	2	2
107	на себя	2	2
108	о том	9	2
109	представляет собой	4	2
110	а если	2	2
111	как это	2	2
112	с ним	5	2
113	но в	5	2
