N	2gram	Voloshinov_1	Myslijsy
1	для нас	7	31
2	и в	12	24
3	в душе	2	23
4	может быть	14	23
5	то что	5	20
6	и не	10	19
7	а не	5	18
8	в том	6	18
9	что в	2	16
10	по себе	3	15
11	не только	4	15
12	при этом	6	13
13	не в	4	13
14	но не	2	12
15	не может	16	12
16	то же	5	12
17	мы можем	2	12
18	если бы	9	11
19	что мы	5	11
20	что и	2	11
21	вместе с	2	11
22	мы не	3	11
23	только в	6	11
24	таким образом	12	11
25	для него	3	10
26	и проч	3	10
27	в себе	3	10
28	как в	5	10
29	так как	9	10
30	тогда когда	2	10
31	независимо от	2	9
32	в нем	6	9
33	как бы	13	9
34	но и	3	9
35	том что	5	8
36	и на	4	8
37	в этом	4	8
38	могут быть	2	8
39	прежде всего	8	7
40	как и	5	7
41	того что	3	7
42	в чем	2	7
43	с другой	4	6
44	не есть	2	6
45	тем не	3	6
46	между тем	3	6
47	в то	2	6
48	уже в	2	5
49	и уже	3	5
50	не менее	3	5
51	с ним	3	5
52	что не	4	5
53	о том	3	5
54	так и	4	5
55	в них	3	5
56	бы не	2	5
57	от того	4	5
58	с другими	2	5
59	или не	3	5
60	все же	4	5
61	место в	2	4
62	никогда не	5	4
63	уже не	4	4
64	такой же	2	4
65	до сих	3	4
66	еще не	3	4
67	в самом	4	4
68	в котором	3	4
69	в некоторых	3	4
70	сих пор	3	4
71	с одной	2	4
72	и что	2	4
73	влияние на	2	4
74	там где	2	4
75	но в	5	4
76	это не	2	3
77	оно не	2	3
78	и все	2	3
79	на все	2	3
80	но мы	2	3
81	ни было	4	3
82	но тем	2	3
83	одной стороны	2	3
84	но это	2	3
85	мы в	2	3
86	которые мы	2	3
87	относится к	2	3
88	в ней	6	3
89	его в	4	3
90	слова и	6	3
91	как не	2	3
92	на него	2	3
93	и притом	2	3
94	те же	2	3
95	не так	2	3
96	и для	3	3
97	как на	2	3
98	и то	2	3
99	в каком	3	3
100	и вообще	3	3
101	в этих	2	3
102	перестает быть	2	2
103	в нашем	11	2
104	и его	13	2
105	в какой	2	2
106	хотя бы	5	2
107	что слово	2	2
108	а к	2	2
109	в жизни	5	2
110	между ними	2	2
111	к этому	2	2
112	зависит от	2	2
113	с его	2	2
114	вместе со	2	2
115	слова но	2	2
116	за пределы	4	2
117	но все	2	2
118	все эти	3	2
119	так же	3	2
120	но что	2	2
121	одно и	2	2
122	в формах	2	2
123	общего с	2	2
124	имеет место	2	2
125	и следовательно	5	2
126	в его	2	2
127	и потому	2	2
128	себя и	2	2
129	слова так	2	2
130	остаются вне	2	2
131	все это	3	2
132	допустим что	2	2
133	другой стороны	2	2
134	на самом	4	2
135	в себя	2	2
136	самом деле	3	2
137	ко всем	2	2
138	и по	3	2
139	как это	2	2
140	по отношению	11	2
141	и здесь	2	2
142	тем как	2	2
143	сказать что	7	2
144	быть только	2	2
145	может стать	2	2
146	отношении к	3	2
