N	2gram	Tiupa_Disk_2	StatiiOP
1	и в	16	44
2	в том	8	36
3	что в	5	30
4	том что	10	29
5	в этом	16	21
6	то что	5	18
7	не только	10	18
8	а в	2	17
9	о том	4	17
10	и не	15	16
11	а не	14	16
12	может быть	16	15
13	в данном	7	14
14	в области	2	14
15	как в	8	13
16	не в	3	12
17	в тексте	3	12
18	в этой	4	11
19	точки зрения	4	11
20	что он	2	10
21	но и	11	10
22	но в	11	10
23	только в	3	10
24	с другой	5	9
25	в то	5	9
26	как и	16	9
27	также и	3	9
28	так и	9	9
29	в его	3	9
30	у пушкина	2	8
31	например в	3	8
32	все же	6	8
33	из них	3	8
34	не может	9	8
35	и его	3	8
36	это не	3	8
37	с точки	2	8
38	прежде всего	7	7
39	другой стороны	2	7
40	этом отношении	4	7
41	потому что	4	6
42	из этих	3	6
43	но это	3	6
44	для него	5	6
45	что и	2	6
46	в своей	6	6
47	в повестях	2	6
48	данном случае	6	6
49	со стороны	10	6
50	что же	2	6
51	именно в	2	6
52	в той	2	6
53	дело в	2	6
54	не менее	7	5
55	никогда не	2	5
56	такой же	2	5
57	в котором	3	5
58	в нем	7	5
59	в целом	2	5
60	жизни и	3	5
61	все это	2	5
62	той же	2	5
63	то же	6	5
64	и то	4	5
65	могут быть	3	5
66	все эти	3	5
67	по словам	2	4
68	в частности	12	4
69	столь же	3	4
70	это в	2	4
71	или иного	2	4
72	же время	5	4
73	является не	2	4
74	в качестве	16	4
75	как бы	4	4
76	не было	3	4
77	как будто	3	4
78	в основе	4	3
79	а с	5	3
80	для себя	2	3
81	же касается	2	3
82	и с	2	3
83	не является	4	3
84	должна быть	2	3
85	ни в	7	3
86	мн др	2	3
87	же как	2	3
88	но не	7	3
89	того же	2	3
90	еще не	6	3
91	своего рода	10	3
92	и для	2	3
93	в ней	2	3
94	из двух	3	3
95	отношению к	4	3
96	по отношению	4	3
97	с одной	4	3
98	в результате	2	3
99	и мн	2	3
100	в другом	3	3
101	между тем	2	3
102	что ни	2	2
103	в этих	3	2
104	в своем	5	2
105	что на	2	2
106	этом случае	2	2
107	который не	2	2
108	идет о	2	2
109	всякий раз	2	2
110	есть в	2	2
111	при этом	17	2
112	одной стороны	4	2
113	совпадает с	2	2
114	а также	8	2
115	свое время	2	2
116	я с	2	2
117	отношение к	2	2
118	такого рода	9	2
119	можно назвать	4	2
120	в первую	2	2
121	первую очередь	2	2
122	что как	2	2
123	в свое	2	2
124	тем самым	6	2
125	более чем	2	2
126	не знает	3	2
127	в своих	6	2
128	их в	2	2
129	одно из	4	2
130	он не	3	2
131	в себе	19	2
132	говорить о	2	2
133	по своей	6	2
134	и все	3	2
135	его в	3	2
136	и это	2	2
137	говорит об	2	2
138	мы имеем	2	2
139	то есть	12	2
