N	2gram	Berdyaev_V_1	VerxiiNi
1	и в	16	26
2	с тем	2	18
3	в этом	4	15
4	как бы	5	12
5	в том	3	11
6	не только	2	10
7	что в	3	9
8	но и	5	9
9	так как	9	9
10	но не	2	8
11	и не	20	8
12	том что	2	7
13	то что	9	7
14	а с	2	7
15	потому что	4	7
16	но в	3	7
17	в конце	3	6
18	к тому	3	6
19	и потому	7	6
20	что и	3	6
21	религиозного сознания	5	6
22	так и	4	6
23	все это	5	6
24	все эти	3	6
25	во всяком	2	6
26	в его	4	5
27	никогда не	3	5
28	лишь в	3	5
29	а не	7	5
30	того чтобы	2	5
31	не имеет	3	5
32	и для	3	5
33	в мире	5	5
34	в этих	3	4
35	что все	4	4
36	что он	4	4
37	в нем	4	4
38	в котором	4	4
39	а в	2	4
40	и что	3	4
41	и тогда	2	4
42	бога и	5	4
43	только в	2	4
44	хотя бы	3	3
45	для него	2	3
46	без бога	2	3
47	к богу	8	3
48	уже не	2	3
49	того что	5	3
50	не могут	2	2
51	с его	3	2
52	религиозное сознание	2	2
53	в них	3	2
54	превращается в	3	2
55	в образе	4	2
56	прежде всего	2	2
57	под разными	2	2
58	все что	4	2
59	что мы	4	2
60	тот же	3	2
61	еще не	8	2
62	они в	3	2
63	конечно не	2	2
64	вслед за	2	2
65	один из	2	2
66	не с	2	2
67	не к	2	2
68	жизни и	3	2
69	во всех	3	2
70	и люди	2	2
71	добра и	4	2
72	не было	3	2
73	если не	3	2
74	его не	2	2
75	людей и	2	2
76	от бога	8	2
77	не в	3	2
78	богу и	2	2
79	и все	4	2
80	и это	2	2
81	между тем	2	2
