N	2gram	Savitsky_P_1	Literetu
1	а не	2	20
2	и в	14	19
3	может быть	5	17
4	то же	9	12
5	и не	12	11
6	в том	9	10
7	но и	6	10
8	же время	7	9
9	не может	4	9
10	в мире	2	9
11	в этом	10	9
12	в то	7	9
13	с другой	5	8
14	не только	17	8
15	хх века	2	8
16	пути в	2	8
17	том что	4	7
18	то что	4	7
19	с одной	3	7
20	не менее	2	6
21	в себе	3	6
22	одной стороны	3	6
23	столь же	3	5
24	одна из	2	5
25	но не	3	5
26	в качестве	9	5
27	того что	2	5
28	что в	4	4
29	тех кто	4	4
30	в частности	2	4
31	в сфере	2	4
32	прежде всего	3	4
33	не в	5	4
34	отнюдь не	2	4
35	в ней	6	4
36	в его	2	4
37	и других	2	4
38	мы не	3	4
39	точки зрения	3	4
40	в русской	4	4
41	в области	11	4
42	я и	3	4
43	быть может	6	3
44	в нем	3	3
45	и как	3	3
46	в начале	2	3
47	во всех	2	3
48	со стороны	2	3
49	тем самым	3	3
50	с точки	3	3
51	как на	2	3
52	а в	4	3
53	не столько	2	3
54	и с	2	3
55	том числе	2	2
56	не было	2	2
57	с тем	3	2
58	в них	2	2
59	в жизни	2	2
60	и к	4	2
61	а также	4	2
62	для нас	2	2
63	в ее	2	2
64	и без	3	2
65	тот же	3	2
66	было бы	6	2
67	где в	2	2
68	как бы	4	2
69	если в	2	2
70	и т	3	2
71	же в	4	2
72	не к	2	2
73	из них	2	2
74	могут быть	3	2
75	в е	2	2
76	как раз	2	2
77	для того	3	2
78	хотя бы	8	2
79	в сравнении	3	2
80	сравнении с	3	2
81	в русском	2	2
82	потому что	3	2
83	в россии	3	2
84	но в	9	2
