N	2gram	Bakhtin_Fr_3	Freidism
1	таким образом	10	24
2	и не	13	23
3	не может	3	20
4	точки зрения	2	19
5	прежде всего	16	18
6	в этом	15	15
7	в его	13	15
8	с помощью	2	14
9	может быть	9	13
10	и его	17	12
11	как и	11	11
12	как бы	3	11
13	то что	5	11
14	все эти	8	11
15	и потому	4	10
16	так и	3	10
17	как мы	10	10
18	самом деле	3	10
19	но в	8	10
20	с его	3	9
21	и в	40	9
22	во всех	6	9
23	по отношению	3	9
24	все что	2	8
25	что он	2	8
26	отношению к	2	8
27	еще не	3	8
28	в своей	6	8
29	он не	9	8
30	не только	13	8
31	все это	4	8
32	то же	7	8
33	только в	3	8
34	и все	9	8
35	так как	4	8
36	мы знаем	2	7
37	ни в	4	7
38	к нему	2	7
39	один из	4	7
40	мы видели	3	7
41	отношение к	8	7
42	в самом	6	7
43	те же	5	7
44	и наконец	3	7
45	сказать что	3	7
46	мы уже	13	7
47	вовсе не	12	6
48	и ее	2	6
49	для него	5	6
50	в ней	4	6
51	так сказать	5	6
52	хотя бы	2	6
53	и с	8	6
54	на протяжении	3	6
55	и к	3	5
56	связь с	6	5
57	можно сказать	2	5
58	в этой	3	5
59	для этого	3	5
60	в то	6	5
61	что в	12	5
62	но и	11	5
63	и прежде	3	5
64	на самом	3	5
65	для того	3	5
66	а в	3	5
67	и на	8	5
68	с этим	2	5
69	не менее	2	4
70	но не	2	4
71	в котором	2	4
72	и др	7	4
73	в этих	6	4
74	из этих	2	4
75	об этом	3	4
76	всех этих	3	4
77	же время	6	4
78	на этом	2	4
79	в последнем	2	4
80	смысле слова	4	4
81	связанные с	3	4
82	при этом	3	4
83	другими словами	3	4
84	конечно не	2	4
85	и о	4	4
86	как раз	5	4
87	в основе	5	4
88	в нем	5	4
89	все же	2	4
90	данном случае	2	4
91	не было	5	4
92	между ними	3	4
93	мы находим	3	4
94	того чтобы	4	4
95	и для	5	4
96	в которой	2	4
97	той же	8	4
98	мы не	2	4
99	характер и	2	4
100	в данном	4	4
101	потому что	2	4
102	в более	3	4
103	во время	8	4
104	если бы	3	3
105	и есть	3	3
106	в них	9	3
107	и от	3	3
108	в себе	3	3
109	он был	3	3
110	и как	3	3
111	но это	3	3
112	со всеми	5	3
113	было бы	4	3
114	и той	2	3
115	жизни и	4	3
116	вместе с	3	3
117	всем этим	2	3
118	как в	3	3
119	одной и	2	3
120	и вот	2	3
121	и т.п	10	3
122	он дает	2	3
123	при анализе	2	3
124	у него	8	3
125	но ведь	3	3
126	слова и	2	3
127	одна из	3	3
128	не исчерпывается	2	2
129	есть и	2	2
130	уже в	2	2
131	но все	3	2
132	и другие	2	2
133	в нашем	4	2
134	того же	2	2
135	с другой	2	2
136	это не	2	2
137	в конце	3	2
138	к этому	6	2
139	большую роль	2	2
140	для понимания	3	2
141	освобождение от	2	2
142	и смерти	3	2
143	в ее	3	2
144	до конца	6	2
145	влияние на	2	2
146	в основном	4	2
147	это и	2	2
148	том что	4	2
149	мы остановимся	2	2
150	они и	2	2
151	чем он	2	2
152	а не	5	2
153	в нашей	2	2
154	из важнейших	2	2
155	из них	4	2
156	его отношение	2	2
157	о нем	3	2
158	в своем	7	2
159	со всею	3	2
160	в этот	2	2
161	и до	8	2
162	только для	3	2
163	и мысли	3	2
164	выражение в	2	2
165	дело не	3	2
166	сих пор	4	2
167	в их	4	2
168	только на	4	2
169	это вовсе	2	2
170	во всей	3	2
171	этом отношении	2	2
172	и они	2	2
173	в отличие	3	2
174	в заключение	4	2
175	должны быть	2	2
176	и у	2	2
177	тем же	2	2
178	и даже	4	2
179	рядом с	2	2
180	отличие от	3	2
181	роль в	4	2
182	на основе	2	2
183	мы видим	5	2
184	в таких	3	2
185	здесь в	4	2
186	их в	3	2
187	нуждается в	3	2
188	они не	3	2
189	в своих	5	2
190	из этой	2	2
191	что и	3	2
192	но как	2	2
193	в другом	3	2
194	все то	2	2
195	которые он	2	2
196	до сих	4	2
197	и самое	3	2
198	в области	4	2
199	в эту	4	2
200	врача и	2	2
201	в виду	7	2
