N	2gram	Ircho_Kome_3	PoTuStor
1	может быть	6	17
2	и в	22	16
3	прежде всего	5	9
4	таким образом	12	9
5	в этом	8	9
6	мы можем	3	9
7	совершенно не	2	8
8	и его	6	8
9	и с	4	8
10	точки зрения	4	8
11	не может	3	8
12	с его	3	7
13	не только	5	7
14	и это	2	6
15	и к	3	6
16	с точки	3	6
17	самом деле	6	6
18	при этом	7	6
19	конечно не	3	6
20	к отцу	2	6
21	только для	2	5
22	отношение к	5	5
23	ни в	10	5
24	нуждается в	2	5
25	еще не	6	5
26	как бы	3	5
27	с самого	4	4
28	самого начала	4	4
29	в нем	3	4
30	отнюдь не	4	4
31	но и	4	4
32	так и	4	4
33	все это	5	4
34	хотя бы	4	4
35	и все	2	4
36	так как	11	4
37	и не	21	4
38	как мы	2	4
39	и ее	2	4
40	и даже	3	4
41	и на	2	4
42	в этой	3	4
43	все что	3	4
44	его в	8	4
45	но в	5	4
46	в его	8	4
47	во время	6	3
48	мы знаем	2	3
49	по сравнению	2	3
50	что в	5	3
51	во всех	2	3
52	вместе с	9	3
53	сих пор	9	3
54	назад в	2	3
55	сравнению с	2	3
56	даже не	3	3
57	отношения к	2	3
58	в одном	2	3
59	к себе	5	3
60	в том	12	3
61	а в	7	3
62	том что	13	3
63	с другими	2	3
64	то что	4	3
65	их в	3	3
66	в основе	2	3
67	только как	2	3
68	едва ли	7	3
69	как это	5	3
70	в области	2	3
71	во всяком	3	3
72	в конечном	2	3
73	до сих	9	3
74	между ними	2	3
75	всяком случае	3	3
76	не менее	5	2
77	нет и	4	2
78	один из	3	2
79	не могут	2	2
80	что и	8	2
81	в развитии	2	2
82	ни было	2	2
83	не будет	2	2
84	конечном счете	2	2
85	в частности	3	2
86	никогда не	3	2
87	что не	3	2
88	между собой	4	2
89	в них	3	2
90	если мы	2	2
91	того же	6	2
92	с этой	3	2
93	с этим	3	2
94	в свое	2	2
95	то же	7	2
96	к этому	6	2
97	не знает	3	2
98	по всему	3	2
99	на них	3	2
100	нет никаких	2	2
101	с помощью	4	2
102	что он	8	2
103	мы не	2	2
104	что мы	2	2
105	у него	4	2
106	и для	4	2
107	все остальные	2	2
108	меньше всего	4	2
109	как и	3	2
110	так же	4	2
111	аналогии с	2	2
112	по своему	3	2
113	а на	2	2
114	он не	5	2
115	и этим	3	2
116	при всей	2	2
117	говорить о	3	2
118	в начале	3	2
119	в пределах	2	2
120	было бы	3	2
121	и мы	3	2
122	о том	8	2
123	в самом	9	2
124	за пределы	2	2
125	в своей	5	2
126	и о	2	2
127	с ним	5	2
128	к ним	3	2
129	себя и	2	2
