N	2gram	Trubetskoy_1	Analitik
1	тогда как	2	19
2	в этом	17	18
3	в частности	2	16
4	и в	14	16
5	не только	9	16
6	как и	4	14
7	в том	17	12
8	но и	10	12
9	и не	19	12
10	том что	9	12
11	в качестве	3	11
12	как бы	4	10
13	при этом	5	10
14	а не	2	10
15	лишь в	3	9
16	и даже	2	9
17	в этой	4	9
18	в данном	7	8
19	отнюдь не	7	8
20	состоит в	2	8
21	к тому	7	7
22	в себе	9	7
23	то что	13	7
24	о том	7	7
25	в самом	3	6
26	в мире	4	6
27	и на	5	6
28	говорить о	3	6
29	может быть	9	6
30	но в	2	6
31	и к	6	5
32	данном случае	3	5
33	на себя	2	5
34	в своем	6	4
35	в конце	3	4
36	у него	2	4
37	этом случае	3	4
38	уже не	2	4
39	не в	4	4
40	но не	4	4
41	тем самым	2	4
42	для него	6	4
43	и является	2	4
44	и тем	2	4
45	во всех	5	4
46	все это	6	4
47	по отношению	2	4
48	не может	22	4
49	то же	11	4
50	не так	2	4
51	точки зрения	11	4
52	только в	5	4
53	в сознании	3	4
54	место в	2	3
55	никогда не	5	3
56	прежде всего	8	3
57	или иного	2	3
58	или иной	5	3
59	одной из	3	3
60	так что	2	3
61	с самим	2	3
62	было бы	5	3
63	несмотря на	3	3
64	и если	7	3
65	или в	3	3
66	той или	3	3
67	что и	3	3
68	проявляется в	2	3
69	из них	3	3
70	со стороны	4	3
71	в их	4	3
72	приводит к	4	3
73	только на	2	3
74	если бы	6	3
75	именно в	3	3
76	того или	2	3
77	можно было	4	3
78	а в	5	3
79	и то	4	3
80	в результате	2	3
81	тем что	3	3
82	как будто	2	3
83	сводится к	3	3
84	и т.д	4	3
85	того что	3	2
86	речь идет	2	2
87	для всех	6	2
88	будучи по	2	2
89	что все	3	2
90	по себе	2	2
91	на то	5	2
92	по существу	5	2
93	в борьбе	2	2
94	все что	4	2
95	же время	10	2
96	что в	4	2
97	что с	2	2
98	она не	2	2
99	еще не	3	2
100	в своей	5	2
101	не о	2	2
102	в таких	2	2
103	в котором	2	2
104	для нее	2	2
105	не есть	3	2
106	на этой	2	2
107	себя в	4	2
108	вместе с	4	2
109	борьбе с	3	2
110	отношения к	2	2
111	таким образом	11	2
112	в значительной	3	2
113	и для	6	2
114	с точки	9	2
115	так же	2	2
116	в таком	2	2
117	между тем	5	2
118	и во	3	2
119	он не	5	2
120	это только	2	2
121	в то	10	2
122	в его	4	2
123	его в	4	2
124	в этих	2	2
125	с ним	2	2
