N	2gram	Ircho_Kome_2	Marksizm
1	может быть	11	28
2	и в	26	19
3	как бы	2	19
4	и не	14	19
5	не может	3	18
6	точки зрения	4	17
7	то же	3	16
8	и его	12	16
9	как мы	4	15
10	в этом	10	15
11	таким образом	6	14
12	не только	7	13
13	связи с	3	13
14	в нем	6	11
15	если бы	9	11
16	вовсе не	2	11
17	не в	2	10
18	но и	10	10
19	том что	9	10
20	так и	12	10
21	как и	4	9
22	отнюдь не	2	8
23	же время	3	8
24	не является	2	8
25	по отношению	3	8
26	в то	6	8
27	с его	5	8
28	отношению к	3	8
29	только в	4	8
30	в связи	3	7
31	в том	11	7
32	его в	4	7
33	но в	3	7
34	прежде всего	4	7
35	одна из	2	7
36	и для	4	7
37	к тому	12	6
38	ни в	5	6
39	того чтобы	6	6
40	в самом	4	6
41	ни было	2	6
42	и все	2	6
43	между тем	4	6
44	во всех	3	6
45	для того	5	6
46	хотя бы	2	6
47	мы можем	3	6
48	то ни	2	5
49	является не	2	5
50	к нему	3	5
51	в их	3	5
52	и на	7	5
53	и здесь	6	5
54	к этому	5	5
55	того же	3	5
56	в его	4	5
57	все же	4	5
58	в той	2	5
59	с самого	2	5
60	тому что	4	4
61	это не	2	4
62	то что	6	4
63	бы то	2	4
64	и их	3	4
65	с ними	2	4
66	бы в	2	4
67	что он	5	4
68	было бы	8	4
69	и ее	2	4
70	в этих	4	3
71	в какой	2	3
72	столь же	9	3
73	с другой	2	3
74	и от	4	3
75	в двух	6	3
76	да и	3	3
77	в этой	3	3
78	одной стороны	2	3
79	в ней	3	3
80	в котором	3	3
81	а в	3	3
82	с этим	5	3
83	с одной	2	3
84	не имеет	3	3
85	не было	3	3
86	в истории	5	3
87	о том	6	3
88	так как	4	3
89	в ее	2	3
90	в качестве	5	3
91	до сих	2	3
92	еще не	6	3
93	одной из	4	3
94	он не	2	3
95	что и	7	3
96	в своей	3	3
97	в отличие	2	3
98	той же	3	3
99	во всяком	2	3
100	и это	2	3
101	отличие от	2	3
102	сих пор	2	3
103	место в	4	2
104	уже в	4	2
105	все время	2	2
106	независимо от	5	2
107	что в	9	2
108	что это	4	2
109	в нашем	2	2
110	в одной	2	2
111	вопрос о	3	2
112	в тех	3	2
113	мы знаем	3	2
114	он был	2	2
115	тому же	11	2
116	о чем	3	2
117	и у	2	2
118	одним из	2	2
119	всяком случае	2	2
120	жизни и	3	2
121	в своем	6	2
122	друг друга	3	2
123	рядом с	2	2
124	не следует	2	2
125	и с	5	2
126	к его	2	2
127	в начале	4	2
128	от этого	2	2
129	у него	4	2
130	так называемой	3	2
131	жизненных ситуаций	2	2
132	но не	3	2
133	здесь в	3	2
134	и особенно	3	2
135	себя в	3	2
136	еще более	2	2
137	ситуаций и	2	2
138	мы не	2	2
139	или в	3	2
140	тем что	3	2
141	на протяжении	10	2
142	ответ на	3	2
143	это было	4	2
144	вместе с	9	2
