N	3gram	Vinokur_Ku_2	Myslijsy
1	в том что	10	16
2	то же время	3	5
3	по крайней мере	6	5
4	в то же	3	5
5	с другой стороны	7	4
6	не только в	4	4
7	вместе с тем	2	4
8	само по себе	5	3
9	может быть только	2	3
10	тем не менее	5	3
11	то тем самым	2	3
12	в свою очередь	2	3
13	и т д	14	3
14	не может быть	4	3
15	только в том	2	3
16	для того чтобы	8	3
17	потому что он	2	3
18	можно сказать что	2	2
19	только потому что	6	2
20	если бы например	2	2
21	и в самом	2	2
22	в этом отношении	3	2
23	и в том	2	2
24	и т п	24	2
