N	3gram	Bakhtin_fo_1	Vvedenie
1	для того чтобы	5	20
2	в том что	2	12
3	не может быть	3	8
4	то же время	9	6
5	в то же	6	6
6	до сих пор	3	6
7	и т п	8	5
8	в широком смысле	2	5
9	и в особенности	2	4
10	не только в	2	4
11	с одной стороны	2	4
12	по сравнению с	2	4
13	в этом отношении	3	4
14	по отношению к	3	4
15	одной стороны и	2	3
16	в строгом смысле	2	3
17	также и в	2	3
18	вместе с тем	2	3
19	но все же	2	3
20	той или иной	2	2
21	а также и	2	2
22	дело в том	2	2
23	с точки зрения	2	2
24	в связи с	5	2
25	может быть и	2	2
26	как мы уже	8	2
27	в соответствии с	2	2
