N	2gram	Propp_Morf_1	PoTuStor
1	может быть	52	17
2	и в	13	16
3	и пр	37	12
4	прежде всего	9	9
5	таким образом	21	9
6	в этом	14	9
7	мы можем	2	9
8	точки зрения	2	8
9	не может	14	8
10	с его	2	7
11	сказать что	2	7
12	не только	4	7
13	и к	4	6
14	с точки	2	6
15	самом деле	4	6
16	все эти	2	5
17	что такое	3	5
18	еще не	3	5
19	как бы	3	5
20	и их	2	4
21	но и	4	4
22	так и	6	4
23	хотя бы	4	4
24	так как	16	4
25	и не	12	4
26	на самом	4	4
27	как мы	6	4
28	но мы	3	4
29	и ее	3	4
30	можно сказать	2	4
31	в этой	2	4
32	только в	2	4
33	в один	3	4
34	его в	2	4
35	но в	2	4
36	во время	6	3
37	в этих	13	3
38	что в	8	3
39	и есть	2	3
40	во всех	4	3
41	и др	10	3
42	могут быть	16	3
43	даже не	3	3
44	в большинстве	3	3
45	пр и	2	3
46	большинстве случаев	3	3
47	учение о	3	3
48	в том	6	3
49	а в	7	3
50	том что	4	3
51	и как	5	3
52	то что	8	3
53	на этом	3	3
54	тех же	4	3
55	но оно	2	3
56	как это	3	3
57	во всяком	2	3
58	всяком случае	2	3
59	не существует	3	2
60	не менее	5	2
61	один из	5	2
62	не могут	4	2
63	что и	7	2
64	ни было	2	2
65	в частности	2	2
66	между собой	4	2
67	если мы	5	2
68	оно не	2	2
69	и таким	2	2
70	с этим	11	2
71	в свое	2	2
72	то же	7	2
73	к этому	3	2
74	в итоге	2	2
75	по всему	2	2
76	что он	4	2
77	мы не	8	2
78	здесь же	3	2
79	что мы	2	2
80	на первый	3	2
81	и по	2	2
82	и для	2	2
83	для нас	2	2
84	как и	3	2
85	мы видим	13	2
86	так же	3	2
87	но это	6	2
88	друг на	2	2
89	путь к	2	2
90	совсем не	3	2
91	по своему	2	2
92	не на	2	2
93	а на	3	2
94	он не	3	2
95	и этим	5	2
96	есть и	4	2
97	между собою	2	2
98	в каком	2	2
99	говорить о	3	2
100	на друга	2	2
101	в начале	3	2
102	в пределах	3	2
103	ту же	2	2
104	было бы	3	2
105	о том	2	2
106	но как	2	2
107	можно назвать	3	2
108	себя и	2	2
