N	2gram	Bakhtin_sl_1	Komedia
1	и в	41	22
2	и не	16	21
3	том что	2	13
4	в том	3	12
5	таким образом	9	12
6	так как	3	11
7	потому что	2	10
8	до сих	2	9
9	в самом	5	9
10	сих пор	2	9
11	в своем	3	8
12	в его	13	8
13	в этом	12	8
14	о том	3	8
15	его в	3	8
16	при этом	6	7
17	в свою	3	7
18	то же	14	7
19	а в	6	7
20	к этому	2	6
21	свою очередь	2	6
22	того же	6	6
23	еще не	4	6
24	для того	2	6
25	к тому	3	6
26	может быть	14	6
27	как раз	2	6
28	так что	2	6
29	и его	14	6
30	в то	14	6
31	связи с	2	5
32	же время	12	5
33	прежде всего	8	5
34	и сам	3	5
35	хотя и	2	5
36	не только	16	5
37	в своей	7	5
38	отношение к	7	5
39	из них	3	5
40	все это	5	5
41	он не	3	5
42	к нему	5	5
43	с ним	7	5
44	но в	8	5
45	у него	3	4
46	между собой	2	4
47	с другой	5	4
48	вовсе не	7	4
49	и здесь	3	4
50	все же	7	4
51	не в	7	4
52	до конца	12	4
53	в ней	4	4
54	и т	28	4
55	но и	16	4
56	и речи	2	4
57	т п	23	4
58	в отношении	6	4
59	а не	15	4
60	и для	4	4
61	друг друга	3	4
62	так же	2	4
63	точки зрения	16	4
64	в себе	3	4
65	так и	11	4
66	не является	2	4
67	хотя бы	3	4
68	и с	4	4
69	с его	4	3
70	в частности	2	3
71	никогда не	3	3
72	в них	6	3
73	с этой	3	3
74	с этим	3	3
75	одного из	2	3
76	в нем	30	3
77	далеко не	5	3
78	нисколько не	2	3
79	и к	5	3
80	в ее	2	3
81	как и	4	3
82	ему не	2	3
83	на которые	2	3
84	по своему	2	3
85	одной стороны	4	3
86	было бы	3	3
87	конечно не	3	3
88	как бы	12	3
89	один из	4	3
90	в целом	2	3
91	не может	14	3
92	не могла	2	3
93	с одной	4	3
94	с точки	8	3
95	столь же	2	3
96	и даже	6	3
97	в других	3	3
98	одной из	3	3
99	во всяком	7	3
100	и этим	3	3
101	в которой	4	3
102	ничего не	4	3
103	всяком случае	5	3
104	в основе	5	2
105	все время	3	2
106	ни было	2	2
107	в качестве	3	2
108	не как	4	2
109	обстоит дело	2	2
110	как в	8	2
111	это не	6	2
112	и все	4	2
113	в одном	2	2
114	не могут	3	2
115	себя от	2	2
116	для понимания	2	2
117	а как	2	2
118	если мы	2	2
119	к своему	6	2
120	этом случае	2	2
121	по существу	3	2
122	что они	2	2
123	она не	3	2
124	а на	2	2
125	то время	2	2
126	в пределах	14	2
127	совершенно не	2	2
128	на его	8	2
129	в сущности	13	2
130	за пределы	4	2
131	и о	2	2
132	одним из	4	2
133	известной степени	4	2
134	в свое	3	2
135	а также	2	2
136	между ними	2	2
137	за пределами	2	2
138	в котором	2	2
139	был бы	2	2
140	не с	2	2
141	во всех	17	2
142	дело не	2	2
143	в их	4	2
144	как мы	8	2
145	другой стороны	4	2
146	различных жанров	2	2
147	при всем	3	2
148	в известной	2	2
149	не было	3	2
150	время как	2	2
151	мы не	2	2
152	роль в	2	2
153	с другими	5	2
154	можно было	2	2
155	и на	14	2
156	в результате	3	2
157	тому что	2	2
158	между тем	2	2
159	и во	3	2
160	и ее	3	2
161	в другом	2	2
162	из этого	3	2
163	здесь не	2	2
