N	2gram	Propp_Isto_4	VLabPisa
1	таким образом	10	27
2	в этом	7	26
3	и в	26	25
4	и т	27	24
5	не только	15	22
6	может быть	14	21
7	хотя бы	2	20
8	и не	9	19
9	т е	18	17
10	не может	6	17
11	в его	5	15
12	т д	24	15
13	в том	3	13
14	в частности	2	12
15	все это	2	12
16	как это	3	12
17	с другой	4	11
18	в силу	5	11
19	из них	2	11
20	не могут	2	10
21	в качестве	7	10
22	о том	4	10
23	к этому	5	9
24	об этом	7	9
25	что в	14	9
26	и др	5	9
27	но и	12	9
28	то же	8	9
29	все эти	3	8
30	в своем	2	8
31	другой стороны	4	8
32	могут быть	6	8
33	из этих	3	7
34	же в	3	7
35	как и	7	7
36	том что	3	7
37	было бы	2	7
38	говорит о	2	7
39	вместе с	6	7
40	а не	6	7
41	у него	5	6
42	это не	5	6
43	в себе	2	6
44	это и	5	6
45	то что	16	6
46	главным образом	2	6
47	в нем	2	6
48	так и	10	6
49	и его	10	6
50	их в	7	6
51	он же	2	5
52	все же	9	5
53	и при	3	5
54	связи с	3	5
55	и есть	2	5
56	как бы	3	5
57	сказать что	2	5
58	только в	3	5
59	не в	5	5
60	он говорит	2	5
61	никогда не	2	4
62	перед нами	3	4
63	в одном	5	4
64	в целом	2	4
65	что он	10	4
66	одна из	2	4
67	в своей	4	4
68	даже в	4	4
69	когда он	6	4
70	вот как	2	4
71	в связи	2	4
72	показывают что	2	4
73	с ними	5	4
74	в этой	2	4
75	во время	7	3
76	с тем	2	3
77	и как	5	3
78	даже и	2	3
79	только что	3	3
80	мы знаем	8	3
81	у нас	2	3
82	по существу	3	3
83	мы видели	6	3
84	что они	6	3
85	видели что	3	3
86	это мы	2	3
87	или в	3	3
88	с этим	2	3
89	например в	3	3
90	и он	3	3
91	его в	9	3
92	что и	9	3
93	и их	2	3
94	этот вопрос	2	3
95	того что	2	3
96	и по	5	3
97	так же	18	3
98	в которых	4	3
99	она не	3	3
100	том как	2	3
101	не менее	2	2
102	на вопрос	3	2
103	что ни	3	2
104	три года	4	2
105	связана с	2	2
106	формы и	2	2
107	не всегда	6	2
108	вовсе не	4	2
109	а как	2	2
110	по себе	2	2
111	показывает что	10	2
112	от них	2	2
113	а затем	3	2
114	это видно	2	2
115	можно указать	2	2
116	до сих	5	2
117	но не	5	2
118	но для	2	2
119	так например	2	2
120	еще не	6	2
121	же самое	2	2
122	то это	5	2
123	если бы	2	2
124	мы имеем	7	2
125	видеть в	2	2
126	к ним	2	2
127	что она	3	2
128	относится к	3	2
129	и даже	4	2
130	при помощи	10	2
131	он может	2	2
132	не по	2	2
133	сих пор	5	2
134	от того	2	2
135	между прочим	2	2
136	а в	8	2
137	в особенности	2	2
138	несколько примеров	2	2
139	из которых	5	2
140	показывает как	2	2
141	между ними	3	2
142	к этим	2	2
143	по его	2	2
144	хотя и	2	2
145	лишь в	2	2
146	он в	4	2
147	знаем что	7	2
148	он не	7	2
149	в другом	5	2
150	что мы	3	2
151	на это	2	2
152	как он	6	2
153	в образе	3	2
154	в области	2	2
155	говорит об	2	2
156	же как	13	2
157	могло бы	2	2
158	о чем	3	2
159	но в	5	2
