N	2gram	Medvedev_F_2	UchenyiS
1	и в	38	14
2	формальный метод	10	11
3	а не	6	10
4	не только	9	10
5	формального метода	15	9
6	и не	20	8
7	прежде всего	15	8
8	то что	6	7
9	в этом	27	7
10	не может	14	7
11	в искусстве	2	6
12	может быть	23	6
13	в художественном	2	5
14	хотя бы	6	5
15	художественное произведение	2	5
16	все это	3	5
17	и только	5	5
18	то же	6	5
19	но и	13	4
20	литературной науки	2	4
21	в этой	6	4
22	в их	6	4
23	с другой	3	4
24	как такового	6	3
25	но в	4	3
26	как и	9	3
27	и то	2	3
28	все же	8	3
29	истории литературы	6	3
30	не следует	4	3
31	в своей	7	3
32	произведения искусства	2	3
33	очевидно что	2	3
34	о формальном	3	3
35	для этого	2	3
36	то ни	2	3
37	же время	5	3
38	другой стороны	4	3
39	для него	7	3
40	это не	2	3
41	вряд ли	2	3
42	в то	5	3
43	не как	4	3
44	было бы	6	3
45	в области	3	3
46	к сожалению	2	3
47	не о	4	3
48	том что	2	2
49	но не	2	2
50	в том	11	2
51	поэтики на	2	2
52	в широком	2	2
53	как прием	2	2
54	является в	2	2
55	по существу	7	2
56	художественного произведения	6	2
57	и прием	3	2
58	мы не	3	2
59	с его	11	2
60	не есть	3	2
61	не в	15	2
62	всех этих	3	2
63	и для	5	2
64	но это	2	2
65	должна была	2	2
66	должна быть	5	2
67	этом смысле	2	2
68	не столько	4	2
69	если бы	5	2
70	литературы и	4	2
71	только в	6	2
72	и с	9	2
73	тем что	8	2
74	предмет изучения	2	2
75	в шкловского	6	2
76	материала и	4	2
77	могут быть	6	2
78	даже и	4	2
79	именно как	4	2
80	что он	5	2
81	вопроса о	2	2
82	как раз	6	2
83	формы и	2	2
84	с проблемой	3	2
85	в конце	2	2
86	в шкловский	14	2
87	этого термина	2	2
88	этом отношении	7	2
89	в самом	16	2
90	в сторону	4	2
91	не могут	7	2
92	по себе	7	2
93	а о	3	2
94	в некоторых	4	2
95	превращается в	2	2
96	сводится к	5	2
97	не приходится	3	2
98	ничего не	4	2
99	материал как	2	2
100	самом деле	8	2
101	а как	3	2
102	что и	8	2
103	в его	10	2
104	между тем	2	2
105	на первый	2	2
106	конце концов	2	2
107	таким образом	20	2
108	это было	3	2
109	как таковой	3	2
