N	2gram	Trubetskoy_1	Russkaja
1	не может	17	22
2	и не	8	19
3	в том	30	17
4	в этом	12	17
5	и в	23	14
6	с другом	9	14
7	друг с	9	14
8	то что	18	13
9	национальной культуры	7	13
10	таким образом	31	11
11	то же	4	11
12	точки зрения	13	11
13	же время	2	10
14	но и	9	10
15	в то	6	10
16	том что	19	9
17	не только	7	9
18	в себе	5	9
19	с точки	8	9
20	может быть	16	9
21	во всяком	2	9
22	прежде всего	3	8
23	того чтобы	8	8
24	как на	4	8
25	отнюдь не	2	7
26	к тому	8	7
27	и если	6	7
28	не будет	5	7
29	самом деле	12	7
30	в данном	3	7
31	самого себя	4	7
32	мы должны	4	7
33	о том	7	7
34	и с	5	7
35	признать что	3	6
36	если бы	8	6
37	на самом	7	6
38	что он	7	6
39	и к	5	6
40	и при	6	6
41	с тем	2	6
42	для него	2	6
43	к которой	3	6
44	для того	8	6
45	всяком случае	2	6
46	все это	11	6
47	в своем	10	6
48	своего народа	3	6
49	и для	6	6
50	в своих	2	6
51	себя и	2	5
52	между собой	4	5
53	хотя бы	4	5
54	он должен	2	5
55	национального характера	2	5
56	вопрос о	3	5
57	на то	9	5
58	и на	6	5
59	при этом	9	5
60	лишь при	4	5
61	до сих	8	5
62	было бы	3	5
63	конечно не	3	5
64	он не	3	5
65	никогда не	4	5
66	в нем	3	5
67	сих пор	8	5
68	во всех	10	5
69	а между	8	5
70	и только	2	5
71	по существу	6	5
72	а потому	5	5
73	из которых	4	5
74	а в	3	5
75	потому что	9	5
76	во имя	3	5
77	только в	6	5
78	данного народа	6	5
79	между тем	12	5
80	а лишь	2	4
81	но не	2	4
82	не могут	4	4
83	том случае	4	4
84	что в	8	4
85	то ни	3	4
86	тогда когда	3	4
87	в мире	6	4
88	как и	9	4
89	более или	7	4
90	все что	9	4
91	как бы	10	4
92	все же	13	4
93	бы то	2	4
94	жизни и	2	4
95	вместе с	6	4
96	от того	3	4
97	или менее	7	4
98	что же	2	4
99	в их	4	4
100	в совершенно	3	4
101	на земле	3	4
102	точку зрения	2	4
103	при том	2	4
104	не в	8	4
105	возможно лишь	2	4
106	и то	4	4
107	в этой	6	4
108	во всем	3	4
109	в его	5	4
110	и т.д	4	4
111	его в	5	4
112	идет речь	8	4
113	так как	7	4
114	может не	3	3
115	что это	5	3
116	можно ли	2	3
117	на том	2	3
118	именно в	5	3
119	случае если	5	3
120	из этих	8	3
121	в конце	4	3
122	что все	5	3
123	таким же	3	3
124	при условии	2	3
125	о которых	6	3
126	этом случае	4	3
127	всех этих	4	3
128	в другом	2	3
129	то в	2	3
130	лишь в	5	3
131	что они	2	3
132	так чтобы	2	3
133	должно быть	4	3
134	ибо в	4	3
135	тем чтобы	2	3
136	еще не	5	3
137	несмотря на	6	3
138	в самом	8	3
139	мы говорили	7	3
140	сил и	2	3
141	том чтобы	2	3
142	но если	2	3
143	знаем что	8	3
144	и потому	3	3
145	самих себя	2	3
146	для этого	7	3
147	что и	7	3
148	не есть	2	3
149	из них	5	3
150	все они	5	3
151	данном случае	3	3
152	не было	2	3
153	что оно	3	3
154	и сейчас	4	3
155	сводится к	2	3
156	того что	6	3
157	ко всем	3	3
158	и по	3	3
159	друг друга	2	3
160	что для	4	3
161	культуры в	10	3
162	в виде	4	3
163	говорить о	2	3
164	связи с	4	3
165	о котором	7	3
166	из этого	6	3
167	конце концов	4	3
168	одна из	2	3
169	в сознании	6	3
170	этой культуры	3	2
171	а с	4	2
172	культурными ценностями	2	2
173	не играет	2	2
174	и более	2	2
175	должна быть	5	2
176	считает себя	2	2
177	в частности	2	2
178	у него	5	2
179	по этому	2	2
180	но даже	3	2
181	культуры с	2	2
182	что только	2	2
183	не подлежит	3	2
184	культуру в	2	2
185	и от	5	2
186	с этим	11	2
187	или нескольких	2	2
188	к той	2	2
189	этот вопрос	2	2
190	европейской культуры	6	2
191	тот факт	4	2
192	представить себе	2	2
193	ясно что	8	2
194	культуры и	9	2
195	том и	2	2
196	то которое	2	2
197	к такому	2	2
198	так что	5	2
199	из всех	5	2
200	это есть	4	2
201	при отсутствии	2	2
202	от него	3	2
203	в культурном	3	2
204	отличается от	6	2
205	настоящее время	2	2
206	что с	5	2
207	она не	2	2
208	совершенно не	3	2
209	от друга	6	2
210	но для	2	2
211	в ней	3	2
212	от своей	2	2
213	в котором	2	2
214	в настоящее	2	2
215	на почве	3	2
216	если же	3	2
217	для себя	2	2
218	на этой	2	2
219	в противоречие	2	2
220	друг от	6	2
221	для нас	3	2
222	весьма часто	2	2
223	быть и	5	2
224	тому что	2	2
225	целый ряд	4	2
226	по отношению	9	2
227	же образом	2	2
228	котором идет	5	2
229	тогда как	6	2
230	даже если	2	2
231	в течение	4	2
232	все эти	19	2
233	и состоит	2	2
234	и что	8	2
235	тем самым	3	2
236	факт что	4	2
237	и наконец	3	2
238	не так	4	2
239	к нему	2	2
240	народа а	18	2
241	существование в	2	2
242	так же	8	2
243	и те	2	2
244	в глазах	2	2
245	в таком	4	2
246	том же	4	2
247	в результате	9	2
248	их в	2	2
249	в силу	7	2
250	мы можем	6	2
251	своей национальной	3	2
252	мы уже	4	2
253	понять что	2	2
254	в начале	2	2
255	европейской цивилизации	7	2
256	народов и	6	2
257	культуре и	4	2
258	как будто	5	2
259	в этих	3	2
260	с ним	6	2
261	в области	4	2
262	к культуре	14	2
263	но в	4	2
264	европейскую культуру	3	2
265	касается до	8	2
