N	2gram	Berdyaev_N_1	Sovremen
1	не может	16	17
2	может быть	7	12
3	мы не	2	9
4	в этом	7	7
5	и в	16	7
6	и не	11	6
7	как и	7	6
8	прежде всего	4	5
9	все эти	2	5
10	нет и	2	4
11	жизни и	8	4
12	вместе с	2	4
13	это не	4	4
14	а в	2	4
15	вопрос о	3	4
16	не только	5	4
17	в том	8	4
18	все это	5	3
19	в нем	5	3
20	а не	17	3
21	и к	5	3
22	когда мы	2	3
23	не в	6	3
24	одна из	2	3
25	еще не	3	3
26	и мы	4	3
27	и все	4	3
28	в себе	2	3
29	что она	2	3
30	но в	2	3
31	и потому	4	3
32	не менее	4	2
33	и есть	10	2
34	у него	2	2
35	можно назвать	2	2
36	что все	2	2
37	с одной	2	2
38	уже не	2	2
39	и что	2	2
40	роль в	2	2
41	и пр	3	2
42	что такое	3	2
43	и даже	2	2
44	такой же	2	2
45	времени и	2	2
46	могут быть	2	2
47	с этим	2	2
48	что в	9	2
49	такого рода	2	2
50	ни одна	2	2
