N	2gram	Tiupa_Anal_1	StatiiOP
1	и в	18	44
2	в том	27	36
3	и т	3	30
4	что в	5	30
5	том что	12	29
6	в этом	13	21
7	вовсе не	2	19
8	то что	6	18
9	не только	15	18
10	было бы	2	17
11	а в	9	17
12	о том	5	17
13	и не	21	16
14	а не	17	16
15	может быть	29	15
16	в данном	2	14
17	в области	4	14
18	не в	14	12
19	в тексте	5	12
20	в этой	5	11
21	самом деле	2	11
22	того чтобы	3	11
23	точки зрения	6	11
24	для того	4	10
25	что он	3	10
26	но и	17	10
27	но в	8	10
28	только в	6	10
29	с другой	4	9
30	если бы	3	9
31	в то	9	9
32	как и	13	9
33	того что	4	9
34	т п	3	9
35	также и	2	9
36	так и	4	9
37	в его	13	9
38	все же	4	8
39	из них	2	8
40	не может	22	8
41	и его	5	8
42	это не	6	8
43	с точки	4	8
44	прежде всего	6	7
45	в самом	6	7
46	другой стороны	2	7
47	таким образом	3	7
48	этом отношении	2	7
49	потому что	2	6
50	из этих	2	6
51	для него	2	6
52	что и	3	6
53	в своей	6	6
54	данном случае	2	6
55	со стороны	2	6
56	что же	2	6
57	именно в	4	6
58	на самом	2	6
59	в той	8	6
60	пушкина как	2	6
61	хотя бы	3	6
62	никогда не	2	5
63	текста в	12	5
64	была бы	2	5
65	такой же	2	5
66	что мы	3	5
67	в котором	3	5
68	в нем	3	5
69	в целом	5	5
70	той же	2	5
71	то же	9	5
72	и по	2	5
73	и то	2	5
74	могут быть	4	5
75	все эти	2	5
76	так как	2	5
77	на вопрос	4	4
78	в частности	19	4
79	столь же	4	4
80	вопрос о	2	4
81	или иного	3	4
82	же время	6	4
83	тем более	2	4
84	в качестве	31	4
85	никто не	3	4
86	того или	3	4
87	как бы	5	4
88	дело не	3	4
89	в новом	2	4
90	как будто	3	4
91	в которой	2	4
92	в основе	6	3
93	не являются	2	3
94	а с	3	3
95	для себя	2	3
96	в какой	2	3
97	и с	2	3
98	не является	2	3
99	ни в	4	3
100	в начале	2	3
101	то в	2	3
102	но не	10	3
103	того же	4	3
104	еще не	3	3
105	что не	3	3
106	своего рода	3	3
107	даже в	3	3
108	не все	2	3
109	должен быть	6	3
110	отношению к	5	3
111	ни с	3	3
112	а именно	3	3
113	по отношению	6	3
114	с одной	3	3
115	в двух	2	3
116	лишь в	5	3
117	в таком	3	3
118	как к	2	3
119	культуры в	2	3
120	в другом	4	3
121	вопроса о	3	3
122	будто бы	3	3
123	между тем	5	3
124	произведения в	11	2
125	истории литературы	4	2
126	том числе	3	2
127	бы не	2	2
128	а как	2	2
129	оказывается в	2	2
130	для научного	2	2
131	в случае	6	2
132	представляет собою	2	2
133	имеем дело	4	2
134	не всегда	4	2
135	всякий раз	3	2
136	и более	4	2
137	перед собой	2	2
138	при этом	12	2
139	случае не	2	2
140	одной стороны	3	2
141	и сам	2	2
142	несмотря на	2	2
143	в сущности	6	2
144	за пределы	2	2
145	совпадает с	2	2
146	и потому	2	2
147	а также	3	2
148	свое время	2	2
149	этого слова	7	2
150	если в	3	2
151	в первом	2	2
152	отношение к	2	2
153	такого рода	5	2
154	которые в	2	2
155	отношения к	2	2
156	что как	3	2
157	и тогда	2	2
158	для этого	2	2
159	в свое	2	2
160	из того	4	2
161	тем самым	7	2
162	более чем	4	2
163	свидетельствует о	2	2
164	думать что	2	2
165	дело с	4	2
166	мере в	3	2
167	он не	3	2
168	в себе	11	2
169	в сознании	2	2
170	по своей	6	2
171	как правило	4	2
172	в равной	3	2
173	и все	3	2
174	при помощи	2	2
175	к нему	3	2
176	мы имеем	6	2
177	то есть	11	2
