N	2gram	Tiupa_Hudo_1	EvropaiE
1	и в	19	37
2	в отношении	3	32
3	в пределах	3	25
4	точки зрения	10	23
5	что в	6	21
6	не только	16	18
7	с точки	3	17
8	в то	6	16
9	то же	10	15
10	отношении к	2	15
11	в своем	2	14
12	в качестве	24	14
13	же время	5	14
14	но и	10	14
15	и не	15	14
16	но в	7	14
17	в этом	11	12
18	в их	5	11
19	в том	18	11
20	в области	6	11
21	так и	11	10
22	отнюдь не	2	9
23	прежде всего	4	9
24	не может	7	9
25	в себе	9	9
26	только в	5	9
27	так же	2	9
28	к тому	4	8
29	в ее	5	8
30	одной стороны	2	8
31	в своей	5	8
32	с одной	2	8
33	между тем	4	8
34	как и	2	7
35	по своему	2	7
36	того что	4	7
37	а также	5	7
38	с другой	7	7
39	вовсе не	2	6
40	том что	8	6
41	может быть	14	6
42	для того	2	6
43	как бы	9	6
44	то что	4	6
45	во всех	3	6
46	того чтобы	2	6
47	и на	2	6
48	то есть	18	6
49	в частности	13	5
50	не в	7	5
51	но не	11	5
52	одной из	2	5
53	со стороны	2	5
54	в той	3	5
55	тем самым	4	5
56	и по	2	5
57	и потому	2	5
58	именно в	2	4
59	или иного	3	4
60	или иной	7	4
61	можно сказать	5	4
62	в самом	5	4
63	то в	2	4
64	той или	4	4
65	даже в	3	4
66	по себе	2	4
67	не на	3	4
68	и притом	3	4
69	культуры в	2	4
70	сказать что	4	4
71	в каком	2	4
72	того или	3	4
73	как это	5	4
74	мира в	2	4
75	место в	4	3
76	и к	3	3
77	никогда не	2	3
78	жизни в	2	3
79	в них	2	3
80	этом смысле	3	3
81	представляет собой	10	3
82	в свою	3	3
83	того же	2	3
84	в культуре	3	3
85	известной степени	3	3
86	не является	4	3
87	и тем	2	3
88	что и	2	3
89	не будет	2	3
90	ее в	2	3
91	как в	2	3
92	и некоторые	2	3
93	и для	2	3
94	потому что	3	3
95	существования в	2	3
96	в данном	4	3
97	о том	2	3
98	всего лишь	4	3
99	мира и	2	3
100	в порядке	2	2
101	и более	2	2
102	а не	9	2
103	в этих	3	2
104	в какой	2	2
105	во втором	4	2
106	в одном	2	2
107	к нему	3	2
108	большей части	2	2
109	для понимания	2	2
110	при условии	2	2
111	и того	2	2
112	и как	3	2
113	в сторону	2	2
114	есть в	2	2
115	свою очередь	2	2
116	но как	2	2
117	между ними	4	2
118	имеет место	2	2
119	по преимуществу	2	2
120	и существенно	2	2
121	он не	4	2
122	в его	9	2
123	мог бы	3	2
124	в мире	21	2
125	иначе говоря	4	2
126	во всей	3	2
127	а в	12	2
128	таким образом	3	2
129	если бы	3	2
130	начиная с	2	2
131	к такой	2	2
132	а именно	2	2
133	заключается в	2	2
134	и что	3	2
135	другой стороны	5	2
136	с другими	4	2
137	на основе	2	2
138	или в	2	2
139	хотя и	3	2
140	могут быть	4	2
141	в этой	2	2
142	и то	4	2
143	по своей	7	2
144	далеко не	2	2
145	между собой	2	2
