N	2gram	Trubetskoy_1	TeoriaLi
1	в мире	6	24
2	не только	7	18
3	тогда как	6	16
4	и не	8	16
5	я в	2	16
6	а в	3	14
7	в частности	2	13
8	и в	23	13
9	может быть	16	12
10	так и	10	12
11	то есть	2	12
12	при этом	9	11
13	в этом	12	11
14	в том	30	11
15	но не	2	10
16	в его	5	9
17	то же	4	9
18	сводится к	2	8
19	что в	8	8
20	отношению к	9	8
21	но и	9	8
22	по отношению	9	8
23	в себе	5	7
24	том что	19	7
25	в данном	3	7
26	точки зрения	13	7
27	по своей	7	7
28	в то	6	7
29	только в	6	7
30	отличие от	3	7
31	же время	2	6
32	еще не	5	6
33	лишь в	5	6
34	как бы	10	6
35	но в	4	6
36	в своем	10	5
37	как и	9	5
38	не в	8	5
39	между ними	2	5
40	в самом	8	5
41	в нем	3	5
42	данном случае	3	5
43	он не	3	5
44	тем самым	3	5
45	с другой	6	5
46	между тем	12	5
47	не менее	7	4
48	в свою	2	4
49	более или	7	4
50	то что	18	4
51	отношение к	4	4
52	или менее	7	4
53	в их	4	4
54	не может	17	4
55	хотя и	4	4
56	и ее	2	4
57	а и	8	4
58	говорить о	2	4
59	не знает	2	4
60	никогда не	4	3
61	в нашем	3	3
62	в этих	3	3
63	он должен	2	3
64	прежде всего	3	3
65	и к	5	3
66	тем не	4	3
67	свою очередь	2	3
68	по своему	5	3
69	для него	2	3
70	того что	6	3
71	и сам	2	3
72	в сторону	2	3
73	и потому	3	3
74	этого слова	2	3
75	на почве	3	3
76	в точке	2	3
77	с ее	2	3
78	другой стороны	5	3
79	таким образом	31	3
80	а с	4	3
81	именно в	5	3
82	в другом	2	3
83	и что	8	3
84	и по	3	3
85	и то	4	3
86	потому что	9	3
87	в основе	2	3
88	между двумя	5	3
89	все прочие	4	3
90	в этой	6	3
91	и т.д	4	3
92	его в	5	3
93	все эти	19	3
94	я не	2	2
95	но на	2	2
96	только не	2	2
97	если бы	8	2
98	себя и	2	2
99	между собой	4	2
100	в конце	4	2
101	того же	9	2
102	это не	3	2
103	одного и	3	2
104	этих двух	2	2
105	этом что	2	2
106	вовсе не	2	2
107	что он	7	2
108	совершенно иной	2	2
109	к тому	8	2
110	при условии	2	2
111	данный момент	4	2
112	но как	2	2
113	и того	3	2
114	что они	2	2
115	одной стороны	2	2
116	во втором	2	2
117	из которых	4	2
118	имеет место	2	2
119	иначе говоря	4	2
120	нашем случае	2	2
121	в виду	2	2
122	так или	5	2
123	даже в	3	2
124	и особенно	2	2
125	к нему	2	2
126	в целом	5	2
127	во всех	10	2
128	вместе с	6	2
129	образом и	2	2
130	как к	5	2
131	и для	6	2
132	однако при	2	2
133	с одной	3	2
134	и состоит	2	2
135	от себя	2	2
136	в себя	2	2
137	и некоторые	2	2
138	с точки	8	2
139	так же	8	2
140	или иначе	5	2
141	культуры в	10	2
142	их в	2	2
143	у него	5	2
144	как будто	5	2
145	о том	7	2
146	и это	3	2
147	в которой	5	2
148	в области	4	2
149	для меня	4	2
