N	2gram	Kanaev_Sov_1	DiskursI
1	не только	4	28
2	в том	4	23
3	а не	3	22
4	может быть	12	17
5	и в	7	16
6	как и	6	16
7	в этом	7	15
8	еще не	3	14
9	при этом	3	13
10	прежде всего	5	11
11	и не	6	11
12	в нем	3	9
13	не может	17	9
14	с одной	2	9
15	отнюдь не	3	8
16	но в	3	8
17	в его	2	7
18	то же	3	7
19	роль в	2	7
20	в себе	3	7
21	не в	3	7
22	или иной	2	5
23	как бы	4	5
24	в отличие	2	5
25	а в	4	5
26	отличие от	2	5
27	что в	2	4
28	и к	3	4
29	уже не	2	4
30	в целом	4	4
31	на его	2	4
32	такого рода	2	4
33	могут быть	2	4
34	и т.д	3	4
35	это не	4	3
36	свою очередь	2	3
37	времени и	2	3
38	в свою	2	3
39	с этим	2	3
40	в самом	2	3
41	все же	3	3
42	из них	4	3
43	таким образом	11	3
44	и даже	2	3
45	точки зрения	12	3
46	в первом	3	3
47	и потому	3	3
48	из двух	3	2
49	не менее	2	2
50	и есть	2	2
51	между собой	3	2
52	и во	2	2
53	и все	3	2
54	в одном	3	2
55	в каждом	8	2
56	тот или	2	2
57	на этом	2	2
58	отличается от	3	2
59	что же	5	2
60	приводит к	2	2
61	уже в	3	2
62	как мы	2	2
63	и что	2	2
64	в науке	2	2
65	и по	2	2
66	во всяком	2	2
67	же самое	2	2
68	в этой	3	2
69	так сказать	2	2
