N	3gram	Vygotskiy__4	Vvedenie
1	и т д	2	36
2	для того чтобы	19	20
3	о том что	10	12
4	в том что	12	12
5	в самом деле	7	6
6	до сих пор	3	6
7	и т п	3	5
8	с другой стороны	2	5
9	в том чтобы	3	5
10	с одной стороны	3	4
11	можно было бы	4	4
12	и в этом	3	4
13	во всяком случае	3	4
14	и в самом	2	3
15	что может быть	2	3
16	вместе с тем	2	3
17	сама по себе	3	3
18	заключается в том	3	3
19	смысле этого слова	3	2
20	и той же	2	2
21	в конце концов	3	2
22	с точки зрения	4	2
23	точно так же	3	2
24	то же самое	6	2
25	что в нем	5	2
26	как она есть	2	2
27	мы уже знаем	2	2
28	одной и той	2	2
29	потому что он	2	2
