N	2gram	Potebnia_M_1	Tvorches
1	и в	39	21
2	как бы	6	17
3	в то	4	15
4	в его	5	13
5	то же	6	13
6	что в	22	12
7	как и	9	12
8	же время	4	12
9	то есть	42	12
10	том что	16	11
11	как в	10	8
12	он не	3	8
13	то что	10	8
14	в свою	4	7
15	в том	26	7
16	тем самым	4	7
17	при этом	6	7
18	не только	21	7
19	и не	18	7
20	но в	9	7
21	и все	3	6
22	не менее	6	6
23	для него	4	6
24	а в	5	6
25	и его	5	6
26	в этом	15	6
27	о том	2	6
28	вовсе не	5	5
29	а не	21	5
30	но это	5	5
31	может быть	27	5
32	в этой	3	5
33	все же	6	5
34	таким образом	13	5
35	хотя бы	2	5
36	в своих	4	5
37	потому что	52	5
38	как будто	2	5
39	только в	25	5
40	в человеке	10	4
41	в своем	3	4
42	прежде всего	4	4
43	в мире	3	4
44	и как	6	4
45	времени и	2	4
46	в целом	2	4
47	не имеют	5	4
48	одним из	2	4
49	в своей	3	4
50	мысли и	9	4
51	не может	22	4
52	это не	7	4
53	и от	3	4
54	не существует	2	3
55	самого начала	3	3
56	никогда не	4	3
57	с другой	7	3
58	что все	3	3
59	в каждом	4	3
60	с ним	3	3
61	что человек	5	3
62	с ее	2	3
63	с самого	3	3
64	но не	8	3
65	в самом	3	3
66	той же	3	3
67	но если	2	3
68	в нем	20	3
69	и т	6	3
70	жизни и	2	3
71	не по	4	3
72	но и	20	3
73	в их	2	3
74	уже не	2	3
75	по мнению	3	3
76	и других	4	3
77	там же	9	3
78	того что	8	3
79	и даже	4	3
80	не так	3	3
81	и по	6	3
82	для человека	2	3
83	так же	5	3
84	в которой	2	3
85	и с	3	3
86	хотя и	3	3
87	дело в	2	3
88	так как	21	3
89	от мысли	2	2
90	а как	2	2
91	зависит от	5	2
92	все более	3	2
93	однако в	4	2
94	в этих	7	2
95	по крайней	2	2
96	точно так	11	2
97	стремление к	2	2
98	в жизни	3	2
99	одного из	2	2
100	есть не	2	2
101	что и	6	2
102	влияние на	2	2
103	крайней мере	2	2
104	так что	16	2
105	не в	15	2
106	то в	5	2
107	отношений между	3	2
108	того же	3	2
109	мысль о	2	2
110	к тому	4	2
111	только на	3	2
112	в ней	7	2
113	к ней	2	2
114	ли в	2	2
115	из себя	5	2
116	и тем	3	2
117	тем не	6	2
118	не будет	2	2
119	вместе с	8	2
120	так и	13	2
121	что для	3	2
122	и того	2	2
123	еще более	2	2
124	свободы и	3	2
125	в одно	2	2
126	не мог	3	2
127	но без	2	2
128	что не	10	2
129	и притом	4	2
130	только что	2	2
131	что как	3	2
132	же с	7	2
133	или в	2	2
134	и необходимости	4	2
135	в движении	2	2
136	сказать что	3	2
137	в первом	5	2
138	могут быть	9	2
139	но он	2	2
140	известно что	2	2
141	в себе	13	2
142	т п	4	2
143	о котором	3	2
144	в один	2	2
145	при помощи	2	2
146	так сказать	2	2
147	на деле	4	2
148	в виду	2	2
