N	3gram	Voloshinov_1	Psycholo
1	в том что	3	9
2	не может быть	13	8
3	в самом деле	9	7
4	во всяком случае	2	6
5	с другой стороны	5	5
6	для того чтобы	3	5
7	так же как	2	4
8	одной и той	2	3
9	и той же	2	3
10	в отличие от	5	3
11	в конце концов	3	3
12	до сих пор	8	3
13	отношения базиса и	2	2
14	смысле этого слова	2	2
15	в таком случае	2	2
16	с точки зрения	20	2
17	то же самое	3	2
18	тем не менее	2	2
19	только на почве	2	2
20	от того что	2	2
21	сама по себе	2	2
22	в этом отношении	3	2
23	в настоящее время	6	2
24	в этом смысле	2	2
