N	2gram	Bakhtin_sl_1	KulturaY
1	и т	28	39
2	потому что	2	25
3	т п	23	24
4	и в	41	23
5	не только	16	20
6	в том	3	19
7	в этом	12	18
8	и не	16	16
9	было бы	3	15
10	так как	3	15
11	может быть	14	15
12	т д	5	14
13	точки зрения	16	14
14	у нас	2	12
15	в самом	5	12
16	все эти	9	12
17	том что	2	11
18	но в	8	11
19	в языке	5	10
20	а не	15	10
21	вовсе не	7	9
22	в сущности	13	9
23	для того	2	9
24	хотя бы	3	9
25	можно было	2	9
26	не может	14	9
27	с другой	5	8
28	прежде всего	8	8
29	не в	7	8
30	в качестве	3	8
31	уже не	2	8
32	с точки	8	8
33	языка и	12	8
34	все же	7	7
35	но и	16	7
36	другой стороны	4	7
37	и с	4	7
38	слова в	8	6
39	это не	6	6
40	но не	2	6
41	речи в	4	6
42	то же	14	6
43	между тем	2	6
44	и на	14	6
45	ту же	4	6
46	не могут	3	5
47	что все	2	5
48	по существу	3	5
49	еще не	4	5
50	в его	13	5
51	всяком случае	5	5
52	один из	4	5
53	и тем	2	5
54	слова и	13	5
55	речь в	2	5
56	все это	5	5
57	таким образом	9	5
58	там где	4	5
59	лишь в	4	5
60	и то	2	5
61	во всяком	7	5
62	и здесь	3	5
63	только в	6	5
64	зависимости от	3	5
65	также и	3	5
66	в узком	10	4
67	в зависимости	3	4
68	в них	6	4
69	перед нами	4	4
70	к этому	2	4
71	бы и	3	4
72	если мы	2	4
73	можно сказать	2	4
74	к тому	3	4
75	для нас	2	4
76	должно быть	2	4
77	в пределах	14	4
78	или в	8	4
79	хотя и	2	4
80	как бы	12	4
81	в нем	30	4
82	так же	2	4
83	не было	3	4
84	и о	2	4
85	в данном	3	4
86	в результате	3	4
87	сказать что	2	4
88	широком смысле	2	4
89	могут быть	19	4
90	в то	14	4
91	в особенности	8	4
92	ничего не	4	4
93	так и	11	4
94	на этом	2	3
95	нисколько не	2	3
96	ни были	3	3
97	у него	3	3
98	всех этих	4	3
99	на фоне	7	3
100	же время	12	3
101	а также	2	3
102	данный момент	4	3
103	большей или	4	3
104	того же	6	3
105	лучшем случае	2	3
106	до конца	12	3
107	в большей	3	3
108	совершенно не	2	3
109	связи с	2	3
110	меньшей степени	4	3
111	в ней	4	3
112	он не	3	3
113	в процессе	4	3
114	как в	8	3
115	как раз	2	3
116	так в	2	3
117	с этим	3	3
118	именно в	3	3
119	те же	2	3
120	как мы	8	3
121	того что	3	3
122	и по	2	3
123	а в	6	3
124	и его	14	3
125	в лучшем	2	3
126	языка но	4	3
127	слова как	6	3
128	языка в	16	3
129	выражение в	3	3
130	или меньшей	4	3
131	здесь не	2	3
132	смысла и	3	2
133	в атмосфере	2	2
134	в отношении	6	2
135	каждый данный	5	2
136	в каждый	5	2
137	же как	2	2
138	речи но	2	2
139	в частности	2	2
140	никогда не	3	2
141	оно не	6	2
142	с этой	3	2
143	не как	4	2
144	и от	4	2
145	и все	4	2
146	но здесь	3	2
147	одного из	2	2
148	на все	2	2
149	связанные с	3	2
150	не должно	3	2
151	или иного	2	2
152	язык не	2	2
153	что они	2	2
154	языка как	4	2
155	этом случае	2	2
156	узком смысле	10	2
157	следовательно и	3	2
158	в широком	2	2
159	в другом	2	2
160	и потому	4	2
161	с одной	4	2
162	свою очередь	2	2
163	а на	2	2
164	литературный язык	8	2
165	смысле слова	2	2
166	в свою	3	2
167	язык и	10	2
168	она не	3	2
169	при этом	6	2
170	язык в	4	2
171	конечно не	3	2
172	по преимуществу	4	2
173	того или	2	2
174	же и	2	2
175	в свое	3	2
176	и даже	6	2
177	был бы	2	2
178	самого языка	2	2
179	к нему	5	2
180	на ту	2	2
181	в своей	7	2
182	на том	2	2
183	дело не	2	2
184	все они	7	2
185	данном случае	3	2
186	в их	4	2
187	и следовательно	7	2
188	в своем	3	2
189	не на	5	2
190	и для	4	2
191	на самом	2	2
192	как и	4	2
193	образом в	3	2
194	в той	10	2
195	но оно	3	2
196	и у	2	2
197	той же	2	2
198	рядом с	4	2
199	роль в	2	2
200	почти всегда	3	2
201	с ними	3	2
202	конечно и	2	2
203	быть только	2	2
204	от этого	2	2
205	выходит за	3	2
206	и вообще	2	2
207	установка на	6	2
208	большинстве случаев	6	2
209	слов и	2	2
