N	2gram	Trubetskoy_1	OGranits
1	и в	14	13
2	прежде всего	8	9
3	не может	22	8
4	и не	19	8
5	может быть	9	8
6	точки зрения	11	7
7	в его	4	7
8	таким образом	11	6
9	не только	9	6
10	то что	13	6
11	только в	5	6
12	мы должны	7	6
13	как бы	4	6
14	все же	4	5
15	с точки	9	5
16	хотя бы	5	5
17	и т.д	4	5
18	и наконец	2	5
19	то же	11	4
20	но мы	3	4
21	в своей	5	4
22	все это	6	4
23	лишь в	3	4
24	мы можем	2	4
25	было бы	5	4
26	в сознании	3	4
27	но в	2	4
28	что в	4	3
29	никогда не	5	3
30	но и	10	3
31	что же	4	3
32	в их	4	3
33	по отношению	2	3
34	вряд ли	3	3
35	точку зрения	4	3
36	самом деле	7	3
37	да и	3	3
38	как и	4	3
39	не в	4	3
40	и то	4	3
41	в себе	9	3
42	говорить о	3	3
43	с этим	2	3
44	и для	6	3
45	так как	4	3
46	но для	2	3
47	и этот	3	2
48	для себя	2	2
49	и тем	2	2
50	в нем	5	2
51	ее в	2	2
52	пути к	2	2
53	данном случае	3	2
54	а не	2	2
55	и должно	2	2
56	а в	5	2
57	вне всякой	2	2
58	в течение	2	2
59	все эти	2	2
60	или иного	2	2
61	разумеется что	2	2
62	к тому	7	2
63	и к	6	2
64	если бы	6	2
65	в том	17	2
66	так же	2	2
67	том что	9	2
68	в своих	6	2
69	в данном	7	2
70	что они	3	2
71	в этом	17	2
72	тем что	3	2
73	между тем	5	2
74	при этом	5	2
75	для него	6	2
76	в другом	3	2
77	во всем	4	2
78	несмотря на	3	2
79	того или	2	2
80	мы уже	2	2
81	в области	2	2
82	в самом	3	2
83	и при	6	2
84	в ней	2	2
85	и является	2	2
