N	2gram	Bakhtin_Fr_8	VLabPisa
1	таким образом	17	27
2	в этом	14	26
3	и в	56	25
4	не только	8	22
5	может быть	3	21
6	и не	9	19
7	не может	2	17
8	в его	18	15
9	в процессе	5	14
10	прежде всего	6	13
11	в том	13	13
12	в частности	7	12
13	все это	8	12
14	с другой	2	11
15	из них	2	11
16	в качестве	4	10
17	о том	4	10
18	к этому	2	9
19	что в	5	9
20	для него	2	9
21	и др	8	9
22	но и	9	9
23	то же	11	9
24	все эти	15	8
25	в своем	3	8
26	другой стороны	2	8
27	в году	3	7
28	как и	5	7
29	том что	8	7
30	было бы	2	7
31	говорит о	2	7
32	во всех	8	7
33	вместе с	2	7
34	не было	5	7
35	а не	2	7
36	у него	7	6
37	это не	2	6
38	в себе	4	6
39	то что	3	6
40	более или	2	6
41	главным образом	3	6
42	в нем	8	6
43	так и	13	6
44	или менее	2	6
45	бы и	2	6
46	и его	12	6
47	их в	4	6
48	между тем	3	6
49	в то	12	6
50	в результате	5	5
51	же время	10	5
52	все же	2	5
53	и при	2	5
54	в пределах	5	5
55	связи с	6	5
56	образы и	4	5
57	действительности и	2	5
58	одним из	5	5
59	как бы	11	5
60	один из	5	5
61	в их	3	5
62	сказать что	3	5
63	действующих лиц	2	5
64	только в	9	5
65	не в	3	5
66	он говорит	2	5
67	никогда не	5	4
68	их и	2	4
69	перед нами	3	4
70	в одном	2	4
71	что все	4	4
72	что он	2	4
73	с его	5	4
74	можно сказать	2	4
75	в ее	6	4
76	в романе	21	4
77	одна из	4	4
78	в своей	2	4
79	в самом	9	4
80	даже в	4	4
81	когда он	2	4
82	вот как	2	4
83	как раз	2	4
84	в них	11	4
85	в связи	3	4
86	в этой	6	4
87	и к	4	3
88	во время	5	3
89	всех этих	3	3
90	и ее	4	3
91	с тем	2	3
92	и как	2	3
93	или меньшей	3	3
94	человека и	2	3
95	момент в	2	3
96	мы видели	5	3
97	что они	2	3
98	видели что	3	3
99	в творчестве	5	3
100	большей или	3	3
101	например в	4	3
102	далеко не	2	3
103	в котором	2	3
104	его в	2	3
105	что и	3	3
106	и их	8	3
107	образом в	2	3
108	в значительной	2	3
109	и отдельных	2	3
110	так же	2	3
111	в слове	2	3
112	в которых	2	3
113	точки зрения	6	3
114	др в	2	3
115	бы в	3	3
116	том числе	3	2
117	только не	2	2
118	мира и	2	2
119	не подлежит	3	2
120	вовсе не	6	2
121	роль в	5	2
122	до сих	8	2
123	и потому	4	2
124	но не	5	2
125	числе и	2	2
126	так например	2	2
127	еще не	10	2
128	одной стороны	2	2
129	в большей	3	2
130	для того	2	2
131	он и	2	2
132	одной из	3	2
133	если бы	2	2
134	меньшей степени	3	2
135	ни с	5	2
136	к ним	2	2
137	в ней	4	2
138	что она	2	2
139	и даже	8	2
140	ни одного	2	2
141	что для	3	2
142	многие из	2	2
143	мы наблюдаем	3	2
144	сих пор	8	2
145	все они	6	2
146	примеров можно	2	2
147	во всей	2	2
148	а в	2	2
149	в особенности	4	2
150	начиная с	2	2
151	еще и	3	2
152	с одной	4	2
153	но с	2	2
154	и некоторые	2	2
155	этом процессе	2	2
156	того чтобы	4	2
157	из которых	2	2
158	между ними	2	2
159	и для	2	2
160	другом месте	3	2
161	отметить что	2	2
162	между собою	2	2
163	в своих	4	2
164	также и	2	2
165	хотя и	2	2
166	он не	5	2
167	они не	5	2
168	как например	3	2
169	к его	3	2
170	в другом	3	2
171	ту же	4	2
172	в образе	3	2
173	в которой	4	2
174	в области	5	2
175	нет ни	2	2
176	но в	6	2
