N	2gram	Savitsky_P_1	VLabPisa
1	в этом	10	26
2	и в	14	25
3	и т	3	24
4	не только	17	22
5	может быть	5	21
6	хотя бы	8	20
7	и не	12	19
8	т е	3	17
9	не может	4	17
10	в его	2	15
11	прежде всего	3	13
12	в том	9	13
13	в частности	2	12
14	все это	2	12
15	с другой	5	11
16	в силу	2	11
17	из них	2	11
18	в качестве	9	10
19	что в	4	9
20	но и	6	9
21	то же	9	9
22	в своем	4	8
23	могут быть	3	8
24	же в	4	7
25	том что	4	7
26	было бы	6	7
27	во всех	2	7
28	не было	2	7
29	а не	2	7
30	в порядке	3	6
31	это не	3	6
32	в себе	3	6
33	то что	4	6
34	главным образом	2	6
35	в нем	3	6
36	между тем	3	6
37	в то	7	6
38	же время	7	5
39	в пределах	8	5
40	и есть	2	5
41	как бы	4	5
42	только в	7	5
43	не в	5	5
44	в ее	2	4
45	одна из	2	4
46	как раз	2	4
47	в них	2	4
48	в статье	2	4
49	с ними	3	4
50	и к	4	3
51	с тем	3	3
52	и как	3	3
53	с этим	2	3
54	например в	2	3
55	вслед за	3	3
56	значительной мере	2	3
57	в котором	4	3
58	именно в	2	3
59	сводится к	3	3
60	в значительной	2	3
61	того что	2	3
62	в которых	5	3
63	никак не	2	3
64	как на	2	3
65	точки зрения	3	3
66	не менее	2	2
67	том числе	2	2
68	в жизни	2	2
69	по себе	4	2
70	стороны и	2	2
71	было в	2	2
72	и потому	4	2
73	но не	3	2
74	н н	3	2
75	одной стороны	3	2
76	мысль о	2	2
77	для того	3	2
78	в общем	2	2
79	если бы	4	2
80	в ней	6	2
81	отнюдь не	2	2
82	если в	2	2
83	так называемые	2	2
84	но к	2	2
85	между прочим	2	2
86	во всей	2	2
87	а в	4	2
88	с одной	3	2
89	заключается в	3	2
90	не столько	2	2
91	хотя и	3	2
92	не о	2	2
93	говорить о	2	2
94	что мы	3	2
95	в области	11	2
96	но в	9	2
